GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17
1500000US420010308004,420010308004,"Block Group 4, Census Tract 308, Adams County, Pennsylvania",894,83,39,26,25,14,30,19,34,29,72,37,48,25,11,12,55,30,53,26,64,36,72,29,125,39,99,36,48,27,50,19,69,33
1500000US420010309001,420010309001,"Block Group 1, Census Tract 309, Adams County, Pennsylvania",658,99,35,17,19,11,20,12,36,19,31,27,75,43,42,35,14,12,21,11,40,25,95,46,151,68,37,35,32,37,5,6,5,6
1500000US420010309002,420010309002,"Block Group 2, Census Tract 309, Adams County, Pennsylvania",721,85,58,48,11,9,38,32,10,13,34,26,30,31,137,78,54,42,25,31,55,53,38,35,131,58,30,26,36,37,21,28,13,17
1500000US420010309003,420010309003,"Block Group 3, Census Tract 309, Adams County, Pennsylvania",1040,121,33,36,37,40,66,50,218,97,139,85,9,14,90,61,33,38,32,35,56,42,150,87,73,59,50,46,17,25,16,24,21,29
1500000US420010309004,420010309004,"Block Group 4, Census Tract 309, Adams County, Pennsylvania",490,88,10,17,0,10,17,25,0,10,0,10,0,10,0,10,16,24,45,43,30,33,84,58,48,49,46,41,58,54,120,89,16,24
1500000US420010310001,420010310001,"Block Group 1, Census Tract 310, Adams County, Pennsylvania",661,45,29,20,21,20,25,14,19,13,50,29,30,20,44,22,22,17,18,14,23,15,149,53,101,38,76,34,36,23,13,15,5,8
1500000US420010311011,420010311011,"Block Group 1, Census Tract 311.01, Adams County, Pennsylvania",586,118,53,45,69,76,57,53,59,44,81,64,19,35,0,10,51,49,0,10,95,71,28,37,65,56,9,16,0,10,0,10,0,10
1500000US420010311012,420010311012,"Block Group 2, Census Tract 311.01, Adams County, Pennsylvania",806,126,41,42,0,10,29,32,56,50,128,96,51,61,54,51,30,34,44,46,40,45,177,97,98,67,44,48,14,24,0,10,0,10
1500000US420010311013,420010311013,"Block Group 3, Census Tract 311.01, Adams County, Pennsylvania",926,103,33,47,61,76,14,21,82,70,39,36,46,41,12,20,37,43,40,45,111,66,115,75,91,66,86,48,51,53,60,54,48,71
1500000US420010311021,420010311021,"Block Group 1, Census Tract 311.02, Adams County, Pennsylvania",1306,67,44,34,36,30,59,46,53,39,53,25,27,22,79,49,75,48,26,25,87,42,120,47,265,89,152,65,55,33,127,59,48,30
1500000US420010312011,420010312011,"Block Group 1, Census Tract 312.01, Adams County, Pennsylvania",816,78,0,10,9,15,47,39,36,55,58,59,29,27,47,32,9,15,19,20,114,67,66,36,86,54,68,43,66,40,77,45,85,45
1500000US420010312012,420010312012,"Block Group 2, Census Tract 312.01, Adams County, Pennsylvania",718,71,8,13,17,18,33,24,9,14,18,21,26,23,44,29,38,29,15,18,36,31,98,52,129,66,147,65,30,26,21,25,49,36
1500000US420010312021,420010312021,"Block Group 1, Census Tract 312.02, Adams County, Pennsylvania",1008,54,6,8,13,14,70,43,33,22,19,16,72,40,28,20,28,17,46,25,82,28,125,43,152,40,117,46,68,25,111,37,38,21
1500000US420010312031,420010312031,"Block Group 1, Census Tract 312.03, Adams County, Pennsylvania",1199,50,63,39,12,10,31,18,9,10,30,20,68,27,41,24,55,26,50,22,80,32,173,40,197,50,133,38,104,39,99,40,54,26
1500000US420010313001,420010313001,"Block Group 1, Census Tract 313, Adams County, Pennsylvania",1141,89,19,21,17,18,75,57,52,35,58,36,84,57,65,42,39,34,29,28,184,88,154,67,196,72,86,47,34,27,27,25,22,24
1500000US420010313002,420010313002,"Block Group 2, Census Tract 313, Adams County, Pennsylvania",702,77,10,15,26,25,37,33,0,10,30,28,77,40,46,45,35,41,49,31,64,39,108,45,83,42,85,39,32,34,20,22,0,10
1500000US420010314011,420010314011,"Block Group 1, Census Tract 314.01, Adams County, Pennsylvania",837,63,13,19,48,40,32,29,34,29,34,28,65,49,45,32,39,34,17,18,66,37,67,37,167,61,80,39,33,23,39,24,58,43
1500000US420010314012,420010314012,"Block Group 2, Census Tract 314.01, Adams County, Pennsylvania",804,72,22,23,53,36,27,27,32,29,19,23,9,13,16,18,11,18,34,21,64,32,79,46,161,58,65,38,70,34,53,32,89,45
1500000US420010314021,420010314021,"Block Group 1, Census Tract 314.02, Adams County, Pennsylvania",367,48,10,11,0,10,26,24,32,19,0,10,24,22,15,12,34,19,16,13,46,25,27,18,42,20,43,21,13,12,10,9,29,18
1500000US420010314022,420010314022,"Block Group 2, Census Tract 314.02, Adams County, Pennsylvania",473,57,62,51,4,6,9,10,12,11,15,13,47,33,37,19,29,18,8,10,40,21,62,24,65,29,44,31,15,13,15,13,9,9
1500000US420010315011,420010315011,"Block Group 1, Census Tract 315.01, Adams County, Pennsylvania",149,44,7,11,0,10,6,10,20,26,0,10,10,11,0,10,14,16,11,14,21,25,19,17,0,10,18,27,4,7,7,10,12,13
1500000US420010315012,420010315012,"Block Group 2, Census Tract 315.01, Adams County, Pennsylvania",378,68,19,25,62,35,13,14,11,13,0,10,20,17,25,31,27,19,28,22,25,21,49,19,30,18,26,18,4,7,39,19,0,10
1500000US420010315021,420010315021,"Block Group 1, Census Tract 315.02, Adams County, Pennsylvania",395,94,40,32,29,35,58,48,9,15,89,64,26,21,6,9,0,10,26,29,10,17,33,30,32,25,0,10,24,20,7,10,6,11
1500000US420010315022,420010315022,"Block Group 2, Census Tract 315.02, Adams County, Pennsylvania",521,102,87,60,9,14,87,53,8,14,0,10,45,34,75,60,41,45,10,17,55,42,49,37,13,15,32,22,6,9,4,11,0,10
1500000US420010315023,420010315023,"Block Group 3, Census Tract 315.02, Adams County, Pennsylvania",357,79,0,10,10,16,34,52,9,13,55,56,46,37,8,13,14,22,23,20,19,18,46,43,47,33,21,23,0,10,0,10,25,39
1500000US420010315024,420010315024,"Block Group 4, Census Tract 315.02, Adams County, Pennsylvania",485,102,29,27,43,34,95,77,39,30,40,32,12,17,14,16,17,20,11,18,36,41,46,50,0,10,51,35,40,35,0,10,12,19
1500000US420010316001,420010316001,"Block Group 1, Census Tract 316, Adams County, Pennsylvania",386,49,13,14,12,14,19,17,4,4,9,9,21,15,14,9,21,11,12,9,29,19,44,16,37,19,64,19,22,11,43,15,22,12
1500000US420010316002,420010316002,"Block Group 2, Census Tract 316, Adams County, Pennsylvania",347,34,12,14,6,7,3,5,9,9,22,11,2,3,20,16,18,10,11,7,25,15,35,16,54,18,44,19,29,14,28,13,29,12
1500000US420010316003,420010316003,"Block Group 3, Census Tract 316, Adams County, Pennsylvania",1249,95,3,5,26,25,7,7,9,15,9,9,0,10,31,31,108,62,41,38,120,62,244,80,170,62,142,71,105,58,159,57,75,44
1500000US420010316004,420010316004,"Block Group 4, Census Tract 316, Adams County, Pennsylvania",721,85,4,5,12,9,0,10,12,10,56,42,47,36,19,12,16,10,44,37,82,47,40,23,139,49,70,40,51,29,73,38,56,32
1500000US420010317001,420010317001,"Block Group 1, Census Tract 317, Adams County, Pennsylvania",405,45,6,8,5,8,30,19,11,12,47,21,11,10,8,11,22,14,11,11,35,16,42,21,90,25,53,22,25,13,5,7,4,5
1500000US420010317002,420010317002,"Block Group 2, Census Tract 317, Adams County, Pennsylvania",624,60,30,16,47,30,5,6,45,21,7,8,46,33,29,13,22,18,25,15,65,26,74,25,93,28,59,32,36,24,31,19,10,9
1500000US420030103001,420030103001,"Block Group 1, Census Tract 103, Allegheny County, Pennsylvania",0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10
1500000US420030103002,420030103002,"Block Group 2, Census Tract 103, Allegheny County, Pennsylvania",0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10
1500000US420030103003,420030103003,"Block Group 3, Census Tract 103, Allegheny County, Pennsylvania",138,48,23,27,0,10,48,42,17,17,5,7,9,10,0,10,0,10,18,19,0,10,11,11,7,10,0,10,0,10,0,10,0,10
1500000US420030103004,420030103004,"Block Group 4, Census Tract 103, Allegheny County, Pennsylvania",153,51,28,17,6,10,17,15,14,16,0,10,5,7,4,7,16,17,0,10,19,24,14,15,5,8,0,10,13,16,12,13,0,10
1500000US420030201001,420030201001,"Block Group 1, Census Tract 201, Allegheny County, Pennsylvania",314,69,10,16,7,12,0,10,16,24,0,10,15,22,0,10,0,10,0,10,0,10,24,28,11,13,58,39,16,26,42,32,115,48
1500000US420030201002,420030201002,"Block Group 2, Census Tract 201, Allegheny County, Pennsylvania",969,147,184,76,64,44,73,80,41,36,51,37,45,39,20,30,14,22,7,11,30,35,51,41,56,76,66,47,60,42,49,36,158,81
1500000US420030201003,420030201003,"Block Group 3, Census Tract 201, Allegheny County, Pennsylvania",282,100,11,18,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,55,43,28,32,18,29,50,47,120,85
1500000US420030201004,420030201004,"Block Group 4, Census Tract 201, Allegheny County, Pennsylvania",454,105,66,31,0,10,0,10,58,68,28,32,30,34,14,22,28,29,24,28,12,20,76,50,39,41,39,41,20,23,0,10,20,24
1500000US420030201005,420030201005,"Block Group 5, Census Tract 201, Allegheny County, Pennsylvania",15,22,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,15,22,0,10,0,10
1500000US420030201006,420030201006,"Block Group 6, Census Tract 201, Allegheny County, Pennsylvania",336,75,23,25,29,31,16,25,0,10,8,11,0,10,0,10,9,16,13,20,0,10,25,21,26,29,59,31,17,19,8,14,103,53
1500000US420030203001,420030203001,"Block Group 1, Census Tract 203, Allegheny County, Pennsylvania",641,54,16,18,18,20,21,22,0,10,17,19,0,10,20,21,8,12,24,26,55,50,90,35,102,48,86,38,40,31,83,49,61,34
1500000US420030305001,420030305001,"Block Group 1, Census Tract 305, Allegheny County, Pennsylvania",630,109,141,67,53,43,92,63,59,55,31,38,33,22,43,37,10,15,27,24,26,42,39,30,50,55,0,10,10,16,0,10,16,19
1500000US420030305002,420030305002,"Block Group 2, Census Tract 305, Allegheny County, Pennsylvania",466,92,187,69,54,29,67,52,38,44,0,10,27,34,12,14,0,10,0,10,32,39,19,20,0,10,8,13,12,17,10,17,0,10
1500000US420030402001,420030402001,"Block Group 1, Census Tract 402, Allegheny County, Pennsylvania",506,63,210,62,41,33,35,24,37,29,4,7,33,28,42,20,34,27,10,11,18,19,11,13,13,14,6,11,0,10,12,13,0,10
1500000US420030402002,420030402002,"Block Group 2, Census Tract 402, Allegheny County, Pennsylvania",123,41,44,32,0,10,11,14,7,11,0,10,6,9,5,8,13,14,10,13,0,10,0,10,9,11,0,10,7,12,11,12,0,10
1500000US420030404001,420030404001,"Block Group 1, Census Tract 404, Allegheny County, Pennsylvania",280,112,184,108,0,10,12,19,8,14,0,10,8,14,0,10,7,11,0,10,12,18,6,11,26,23,17,19,0,10,0,10,0,10
1500000US420030404002,420030404002,"Block Group 2, Census Tract 404, Allegheny County, Pennsylvania",917,97,177,81,56,40,56,40,47,47,77,40,80,47,55,52,23,23,43,30,87,52,49,43,64,34,40,33,0,10,31,28,32,28
1500000US420030405001,420030405001,"Block Group 1, Census Tract 405, Allegheny County, Pennsylvania",440,107,150,74,65,52,51,32,36,46,13,28,12,16,30,33,13,24,0,10,25,22,17,29,19,22,0,10,0,10,0,10,9,13
1500000US420030405002,420030405002,"Block Group 2, Census Tract 405, Allegheny County, Pennsylvania",692,96,209,86,89,62,73,51,56,41,86,65,18,21,74,55,0,10,69,63,10,16,0,10,0,10,0,10,8,12,0,10,0,10
1500000US420030406001,420030406001,"Block Group 1, Census Tract 406, Allegheny County, Pennsylvania",892,91,280,80,71,46,117,60,89,40,59,43,51,47,38,31,8,13,17,27,47,41,51,51,43,40,14,15,0,10,7,11,0,10
1500000US420030409001,420030409001,"Block Group 1, Census Tract 409, Allegheny County, Pennsylvania",395,78,105,53,67,52,53,35,13,20,18,20,26,19,41,30,0,10,21,23,10,16,9,15,0,10,12,19,0,10,20,23,0,10
1500000US420030409002,420030409002,"Block Group 2, Census Tract 409, Allegheny County, Pennsylvania",566,86,128,65,120,74,17,18,45,35,0,10,0,10,46,36,0,10,10,16,94,65,32,28,21,21,30,49,23,26,0,10,0,10
1500000US420030409003,420030409003,"Block Group 3, Census Tract 409, Allegheny County, Pennsylvania",327,93,67,54,66,50,30,47,10,15,10,16,0,10,45,41,8,13,0,10,22,25,11,17,14,17,36,44,0,10,1,8,7,11
1500000US420030501001,420030501001,"Block Group 1, Census Tract 501, Allegheny County, Pennsylvania",292,72,56,41,19,16,24,20,24,18,13,14,28,35,13,13,55,47,0,10,18,29,19,17,6,10,17,29,0,10,0,10,0,10
1500000US420030501002,420030501002,"Block Group 2, Census Tract 501, Allegheny County, Pennsylvania",198,66,46,38,63,56,19,16,0,10,7,10,0,10,0,10,6,9,0,10,0,10,23,37,14,14,13,20,0,10,0,10,7,10
1500000US420030501003,420030501003,"Block Group 3, Census Tract 501, Allegheny County, Pennsylvania",506,94,87,50,166,86,75,54,36,24,29,28,39,25,6,9,24,18,0,10,12,14,6,9,7,10,13,15,6,8,0,10,0,10
1500000US420030506001,420030506001,"Block Group 1, Census Tract 506, Allegheny County, Pennsylvania",424,93,64,36,56,49,14,21,10,16,0,10,9,13,15,16,31,40,21,34,52,39,34,28,19,21,62,53,0,10,37,23,0,10
1500000US420030506002,420030506002,"Block Group 2, Census Tract 506, Allegheny County, Pennsylvania",192,70,19,21,36,32,29,31,12,20,0,10,20,33,12,19,11,17,0,10,0,10,6,13,19,20,0,10,11,19,9,14,8,12
1500000US420030506003,420030506003,"Block Group 3, Census Tract 506, Allegheny County, Pennsylvania",290,85,19,22,37,44,21,33,9,14,0,10,0,10,0,10,10,16,26,31,11,16,31,48,8,13,32,24,10,17,17,24,59,68
1500000US420030509001,420030509001,"Block Group 1, Census Tract 509, Allegheny County, Pennsylvania",790,49,252,76,91,42,130,62,65,47,123,65,34,32,22,17,4,7,12,15,23,23,8,12,12,21,0,10,7,10,0,10,7,11
1500000US420030510001,420030510001,"Block Group 1, Census Tract 510, Allegheny County, Pennsylvania",497,81,124,54,75,43,120,66,54,43,0,10,16,18,8,12,22,26,7,11,9,14,16,15,46,41,0,10,0,10,0,10,0,10
1500000US420030510002,420030510002,"Block Group 2, Census Tract 510, Allegheny County, Pennsylvania",227,73,60,55,70,48,21,19,21,33,0,10,0,10,5,9,21,30,0,10,0,10,0,10,0,10,7,12,0,10,0,10,22,28
1500000US420030511001,420030511001,"Block Group 1, Census Tract 511, Allegheny County, Pennsylvania",82,34,22,17,0,10,4,7,27,30,5,8,5,8,0,10,13,11,0,10,6,8,0,10,0,10,0,10,0,10,0,10,0,10
1500000US420030603001,420030603001,"Block Group 1, Census Tract 603, Allegheny County, Pennsylvania",635,83,66,48,38,26,8,14,28,25,65,62,45,46,8,12,8,13,8,11,70,43,119,49,73,39,33,29,28,28,0,10,38,36
1500000US420030603002,420030603002,"Block Group 2, Census Tract 603, Allegheny County, Pennsylvania",611,94,22,19,41,36,43,30,85,52,41,26,10,17,8,13,17,18,17,18,13,13,48,33,91,43,41,27,31,29,58,38,45,36
1500000US420030605001,420030605001,"Block Group 1, Census Tract 605, Allegheny County, Pennsylvania",407,74,8,10,61,24,46,48,26,19,21,18,6,10,14,15,37,27,5,7,19,16,22,17,58,43,8,9,45,25,17,18,14,15
1500000US420030605002,420030605002,"Block Group 2, Census Tract 605, Allegheny County, Pennsylvania",309,64,20,17,21,16,40,38,36,42,10,11,13,14,17,14,6,9,12,11,4,7,31,24,19,15,30,19,28,18,15,17,7,10
1500000US420030703001,420030703001,"Block Group 1, Census Tract 703, Allegheny County, Pennsylvania",477,96,13,22,9,14,12,14,60,53,0,10,0,10,19,21,44,51,88,89,11,17,61,39,37,30,62,42,24,28,20,24,17,25
1500000US420030703002,420030703002,"Block Group 2, Census Tract 703, Allegheny County, Pennsylvania",364,70,18,21,16,25,25,24,42,37,10,17,11,16,0,10,0,10,20,22,62,46,14,16,10,16,10,16,38,33,36,38,52,39
1500000US420030703003,420030703003,"Block Group 3, Census Tract 703, Allegheny County, Pennsylvania",298,61,14,17,0,10,7,11,7,11,0,10,8,12,8,12,6,9,36,29,36,28,12,19,25,26,15,17,7,11,20,26,97,52
1500000US420030705001,420030705001,"Block Group 1, Census Tract 705, Allegheny County, Pennsylvania",750,87,75,47,0,10,19,21,64,56,21,20,69,45,68,57,13,20,35,26,55,33,87,51,38,28,73,37,29,26,41,30,63,33
1500000US420030705002,420030705002,"Block Group 2, Census Tract 705, Allegheny County, Pennsylvania",509,78,76,41,42,40,24,21,7,11,16,18,18,19,23,25,39,31,39,38,93,54,31,28,20,17,31,26,18,21,21,32,11,17
1500000US420030705003,420030705003,"Block Group 3, Census Tract 705, Allegheny County, Pennsylvania",530,69,74,34,7,10,60,35,9,13,23,20,8,12,0,10,18,19,18,21,22,23,79,48,31,21,53,47,41,33,50,36,37,26
1500000US420030706001,420030706001,"Block Group 1, Census Tract 706, Allegheny County, Pennsylvania",552,85,25,25,18,21,18,19,21,24,31,24,21,23,0,10,21,24,47,33,77,56,27,26,90,58,37,31,49,39,9,15,61,38
1500000US420030706002,420030706002,"Block Group 2, Census Tract 706, Allegheny County, Pennsylvania",711,100,73,44,18,21,38,30,61,47,43,33,20,23,22,24,61,56,42,30,79,71,60,57,74,41,17,20,52,35,32,36,19,21
1500000US420030708001,420030708001,"Block Group 1, Census Tract 708, Allegheny County, Pennsylvania",510,79,64,41,14,21,26,20,12,19,52,36,0,10,41,54,0,10,0,10,55,43,33,31,83,43,9,14,35,27,26,25,60,44
1500000US420030708002,420030708002,"Block Group 2, Census Tract 708, Allegheny County, Pennsylvania",558,71,51,38,9,15,13,21,12,19,0,10,62,58,11,18,10,17,35,36,84,56,65,50,91,47,47,35,8,12,42,30,18,20
1500000US420030709001,420030709001,"Block Group 1, Census Tract 709, Allegheny County, Pennsylvania",954,156,116,79,61,49,45,35,121,90,30,34,40,39,0,10,52,44,16,26,155,92,45,42,135,66,37,41,18,26,76,63,7,16
1500000US420030709002,420030709002,"Block Group 2, Census Tract 709, Allegheny County, Pennsylvania",481,117,183,137,23,28,14,23,0,10,24,29,76,83,0,10,22,34,30,31,12,24,0,10,15,24,12,19,0,10,14,23,56,54
1500000US420030709003,420030709003,"Block Group 3, Census Tract 709, Allegheny County, Pennsylvania",433,151,192,129,47,62,36,57,0,10,0,10,0,10,13,21,0,10,0,10,0,10,34,33,29,33,0,10,13,20,21,27,48,39
1500000US420030709004,420030709004,"Block Group 4, Census Tract 709, Allegheny County, Pennsylvania",602,140,125,58,101,86,21,24,14,24,83,65,80,60,0,10,0,10,0,10,35,34,16,26,14,23,0,10,0,10,95,108,18,23
1500000US420030802001,420030802001,"Block Group 1, Census Tract 802, Allegheny County, Pennsylvania",543,83,66,53,61,41,47,44,12,13,30,31,32,20,45,27,39,28,44,27,49,30,17,19,42,35,21,17,13,14,21,17,4,7
1500000US420030802002,420030802002,"Block Group 2, Census Tract 802, Allegheny County, Pennsylvania",328,52,11,12,31,28,20,16,3,5,5,10,64,47,13,15,22,19,19,19,16,17,22,15,36,25,40,32,19,14,0,10,7,10
1500000US420030804001,420030804001,"Block Group 1, Census Tract 804, Allegheny County, Pennsylvania",348,49,7,7,30,22,20,24,27,20,9,9,22,26,11,13,13,15,24,20,37,31,52,30,61,32,7,10,7,11,16,16,5,8
1500000US420030804002,420030804002,"Block Group 2, Census Tract 804, Allegheny County, Pennsylvania",457,52,119,41,28,26,56,29,40,30,24,19,18,16,14,12,0,10,20,21,19,18,22,20,63,40,7,10,0,10,19,14,8,12
1500000US420030806001,420030806001,"Block Group 1, Census Tract 806, Allegheny County, Pennsylvania",670,80,48,39,10,15,18,20,0,10,50,40,52,52,16,20,30,28,43,31,44,32,61,56,113,63,77,42,9,14,26,31,73,37
1500000US420030806002,420030806002,"Block Group 2, Census Tract 806, Allegheny County, Pennsylvania",412,76,20,22,27,21,12,19,32,31,31,27,41,29,9,14,10,15,0,10,61,51,31,30,54,47,19,21,10,16,19,19,36,43
