FID,WUDS_ID,CNTY_CODE,CNTY_NAME,OWNERSHIP,GW_SOURCE,SW_SOURCE,INTCONNECT,LAST_DATE,PWS_ID,SHAPE_Leng,SHAPE_Area,PWS_Name,AREA_GEO
32,19997,06,Berks,Institutional Education,Y,N,N,3/8/2016 0:00:00,3060064,2026.918027420000044,281094.073765999986790,TEEN CHALLEGE TRAINING CTR,162604.645403000002261
33,19998,06,Berks,Mobile Home Park,Y,N,N,1/1/2003 0:00:00,3060065,1009.042353359999993,63443.516433800003142,HERITAGE HILL ESTATES,36730.990690400001768
34,19999,06,Berks,Mobile Home Park,Y,N,N,1/1/2003 0:00:00,3060068,952.662965217999954,52011.113296299998183,MILLER MOBILE HOME PARK,30078.898776400001225
35,20000,06,Berks,Mobile Home Park,Y,N,N,1/1/2003 0:00:00,3060070,1342.226519430000053,86448.203884300004574,URBAN ACRES MHP,50096.343043499997293
36,49418,06,Berks,Apartments,Y,N,N,2/21/2016 0:00:00,3060129,1840.430510449999929,148903.291450999997323,E AND Y FARM APTS,85918.059679500001948
37,18601,06,Berks,Authority,N,N,Y,1/1/2003 0:00:00,3060123,1250.487099790000002,82040.332088900002418,PERRY TWP MUNI AUTH,47375.199350299997604
38,18712,01,Adams,Authority,Y,N,N,1/1/2003 0:00:00,7010005,22094.785473500000080,2810144.691000000108033,FAIRFIELD MUNI AUTH WATER SYS,1657421.971059999894351
39,18799,05,Bedford,Association,Y,N,N,1/1/2003 0:00:00,4050029,16618.468302099998255,2545550.046389999799430,FISHERTOWN WATER ASSN SYS,1486570.326080000028014
40,18863,08,Bradford,Authority,Y,N,N,1/1/2003 0:00:00,2080029,82433.197064099993440,13051716.929500000551343,TOWANDA MUNI WATER AUTH,7260645.002220000140369
41,19066,18,Clinton,Authority,N,N,Y,2/28/2006 0:00:00,4180049,103456.232115000006161,34506546.357600003480911,SUBURBAN LOCK HAVEN WATER AUTH,19560587.584699999541044
42,20215,25,Erie,Mobile Home Park,Y,N,N,2/28/2006 0:00:00,6250020,1429.786670689999937,94558.454699399997480,MAJESTIC HEIGHTS MHP,52387.602164099997026
43,19237,35,Lackawanna,Private Investor Owned,Y,Y,Y,3/5/2018 0:00:00,2359008,283206.099846000026446,419661165.769999980926514,PA AMER WATER CO SCRANTON DIST,235369042.476999998092651
44,18128,09,Bucks,Authority,Y,N,Y,3/23/2017 0:00:00,1090104,14612.207289300000411,6261293.586509999819100,BEDMINSTER MUNI AUTH,3629455.331129999831319
45,18867,08,Bradford,Authority,Y,N,N,1/1/2003 0:00:00,2080020,11311.185431199999584,3649430.516600000206381,TROY BORO WATER DEPT,2027607.461929999990389
46,18870,08,Bradford,Authority,Y,N,N,1/1/2003 0:00:00,2080034,12429.271435599999677,1157774.751200000056997,WYALUSING MUNI AUTH,645524.370722000021487
47,19843,08,Bradford,Mobile Home Park,Y,N,N,1/1/2003 0:00:00,2080009,1403.175054580000051,59761.337797000000137,VILLAGE AT WHISPERING PINES,32983.231080099998508
48,19844,08,Bradford,Mobile Home Park,Y,N,N,1/1/2003 0:00:00,2080011,1042.940838440000107,45289.612763099998119,SEVEN HILLS MHP,25102.108048199999757
49,44477,08,Bradford,Mobile Home Park,Y,N,N,1/1/2003 0:00:00,2080024,1074.330158040000015,56369.666489800001727,HILLSIDE ACRES MHP,31166.131304099999397
50,18901,10,Butler,Municipal,N,N,Y,1/1/2003 0:00:00,5100093,13135.552440699999352,5924870.268430000171065,ZELIENOPLE BORO WATER DEPT,3392719.533789999783039
51,18235,10,Butler,Mobile Home Park,Y,N,N,4/10/2015 0:00:00,5100054,7214.294699510000100,1913600.481529999990016,LAKE ARTHUR ESTATES,1090178.352329999906942
52,18262,10,Butler,Mobile Home Park,Y,N,Y,4/22/2015 0:00:00,5100050,2249.545381190000171,261794.194363999995403,CRANBERRY VILLAGE INC,150374.023467999999411
53,18190,59,Tioga,Authority,N,N,Y,1/2/2018 0:00:00,2590049,17903.581605499999569,2945224.192369999829680,HAMILTON TWP MUNI AUTH,1641661.068770000012591
54,18263,10,Butler,Mobile Home Park,Y,N,N,1/1/2003 0:00:00,5100018,1860.165841799999953,214423.792783000011696,SANDY HILL ESTATES MHP,123068.471982000002754
55,18281,10,Butler,Mobile Home Park,Y,N,N,3/13/2015 0:00:00,5100008,2706.916358240000136,460984.306278000003658,PORT O CALL REC CLUB,264317.471151000005193
56,18559,10,Butler,Institutional Health,Y,N,N,1/1/2003 0:00:00,5100132,467.399393595999982,13642.661512299999231,COLONIAL GARDENS,7814.901970769999934
57,18904,10,Butler,Municipal,Y,N,N,3/19/2015 0:00:00,5100029,7704.707481229999757,2350896.371910000219941,CHICORA BORO WATER CO,1339768.342870000051335
58,53174,10,Butler,Authority,N,N,Y,10/12/2006 0:00:00,5100147,7246.481042899999920,1255064.851139999926090,PETROLEUM VALLEY REGIONAL WATER AUTH,713835.263982999953441
59,20143,10,Butler,Mobile Home Park,Y,N,N,1/1/2003 0:00:00,5100015,1251.036503199999970,90572.183862000005320,PINEHURST MANOR MHP,51619.450302800003556
60,20144,10,Butler,Mobile Home Park,Y,N,N,3/19/2017 0:00:00,5100016,977.229613847999985,43675.587650399997074,HY VUE ACRES MHP,24978.242252600000938
61,20150,10,Butler,Mobile Home Park,Y,N,N,1/1/2003 0:00:00,5100036,1645.891246129999899,99549.447911299997941,COYLESVILLE COURT MHP,56891.974160600002506
62,20151,10,Butler,Mobile Home Park,Y,N,N,1/1/2003 0:00:00,5100037,2870.767359240000133,305445.145942999981344,CRYSTAL SPRINGS MHP,173275.978964000009000
63,20152,10,Butler,Mobile Home Park,Y,N,N,1/1/2003 0:00:00,5100043,842.724318725999979,42377.899783399996522,PERRY LAKE ESTS,24204.579295499999716
64,20156,10,Butler,Mobile Home Park,Y,N,N,3/28/2015 0:00:00,5100062,1638.368944849999934,109149.895988999996916,GULICK MHP,62586.801640400000906
65,20157,10,Butler,Institutional Health,Y,N,N,3/24/2015 0:00:00,5100063,220.430218730999997,2608.414491410000210,FAIR WINDS MANOR,1495.722324789999902
66,20160,10,Butler,Mobile Home Park,Y,N,N,1/1/2003 0:00:00,5100087,971.611254575999965,63559.779156099997635,CUPEC MOBILE ESTATES,36198.431278500000190
67,20164,10,Butler,Mobile Home Park,Y,N,N,2/27/2016 0:00:00,5100126,1458.310311940000020,132734.355773999996018,WESLEYS HIDEAWAY,75856.703913000004832
68,18610,10,Butler,Authority,N,N,Y,1/1/2003 0:00:00,5100141,29442.731342899998708,5731852.596579999662936,MUNICIPAL WATER AUTH ADAMS TWP (MWAAT),3292405.957260000053793
69,44495,10,Butler,Mobile Home Park,Y,N,N,2/1/2018 0:00:00,5100140,2665.843385229999967,435841.711729999980889,SUTTON MHP INC,248048.406255999987479
70,20165,10,Butler,Institutional Health,Y,N,N,1/1/2003 0:00:00,5100127,577.967427427999951,10583.145357900000818,CHICORA MEDICAL CENTER,6033.321113410000180
71,44529,10,Butler,Mobile Home Park,Y,N,N,1/1/2003 0:00:00,5100869,2801.940967670000191,360499.770939000009093,BRADY HILLS MHP,205155.527922000008402
72,19755,10,Butler,Mobile Home Park,Y,N,N,1/1/2003 0:00:00,5100084,2969.598684139999932,375647.149533000017982,VILLA VISTA ESTATES,215785.626656999986153
73,20162,10,Butler,Mobile Home Park,Y,N,N,1/1/2003 0:00:00,5100105,1364.816463370000065,83146.551112700006342,CORAL RIDGE ESTATE,47439.813038499996765
74,18902,03,Armstrong,Authority,N,Y,Y,1/1/2003 0:00:00,5030019,51733.791941299998143,22814021.872699998319149,BUFFALO TWP MUNI AUTH,13099186.666400000452995
75,18907,10,Butler,Authority,N,N,Y,4/13/2015 0:00:00,5100033,18583.527649399999063,5315755.043250000104308,EVANS CITY WATER & SEWER AUTH,3046098.539830000139773
76,64367,41,Lycoming,Private Investor Owned,Y,N,N,3/24/2017 0:00:00,4410174,19088.078311000001122,12949659.639799999073148,LCWSA VILLAGE WATER SYS,7314493.508369999937713
77,18953,12,Cameron,Private Investor Owned,N,Y,N,12/15/2017 0:00:00,6120002,32150.202868799999123,17679535.941399998962879,EMPORIUM WATER CO,9906544.118739999830723
78,18969,14,Centre,Authority,Y,N,Y,1/1/2003 0:00:00,4140075,33082.403085600002669,26774494.732900001108646,BELLEFONTE BORO AUTH,15277146.900100000202656
79,18856,07,Blair,Association,Y,N,N,2/28/2006 0:00:00,4070047,1556.660780050000085,159398.273481000011088,SPROUL WATER ASSN,92689.496001699997578
80,19831,15,Chester,Mobile Home Park,Y,N,N,2/28/2006 0:00:00,1150177,3342.538327119999849,718361.598698999965563,NOTTINGHAM MANOR MHP,424118.881623000022955
81,19574,59,Tioga,Authority,Y,N,N,2/28/2006 0:00:00,2590050,6523.835078770000109,1826769.130889999913052,LAWRENCEVILLE BORO WATER,1008276.914310000021942
82,18378,38,Lebanon,Institutional Military,N,N,Y,2/26/2016 0:00:00,7380044,32781.681582400000480,19176775.829199999570847,FORT INDIANTOWN GAP,11098442.224099999293685
83,20008,13,Carbon,Private Investor Owned,Y,N,N,2/13/2015 0:00:00,3130054,2998.678573080000206,547395.150597000028938,AQUA PA GOLDEN OAKS DEV,310835.930347000015900
84,18522,35,Lackawanna,Private Investor Owned,Y,N,N,3/7/2017 0:00:00,2350065,1868.237480170000026,130245.843481999996584,LOG ROAD VILLAGE,73227.325136800005566
85,18971,14,Centre,Institutional Correctional,Y,Y,Y,1/1/2003 0:00:00,4140098,2520.684097970000039,366768.382332000008319,ROCKVIEW STATE CORR INST,209650.019621000014013
86,18972,14,Centre,Authority,Y,N,N,3/5/2018 0:00:00,4140101,15303.831541300000026,4164890.128920000046492,PA AMER WATER CO BOGGS,2373156.968059999868274
87,18974,14,Centre,Municipal,Y,N,N,1/1/2003 0:00:00,4140077,25336.040194099998189,7505026.206790000200272,CENTRE HALL BORO WATERWORKS,4290483.547639999538660
88,18976,14,Centre,Authority,Y,N,Y,1/1/2003 0:00:00,4140082,40094.592151199998625,43528679.104199998080730,COLLEGE TWP WATER AUTH,24906453.827899999916553
89,18981,14,Centre,Authority,Y,N,N,3/30/2015 0:00:00,4140107,8987.929141680000612,1212310.721619999967515,GREGG TWP WATER AUTH,692887.331520000007004
90,18993,14,Centre,Municipal,N,Y,N,1/1/2003 0:00:00,4140084,12038.903218100000231,2895392.792260000016540,MILLHEIM BORO WATER CO,1652951.765850000083447
91,18995,14,Centre,Municipal,Y,N,N,1/1/2003 0:00:00,4140078,9890.714813000000504,2814089.501749999821186,PENN TWP WATER DIST,1607748.047319999895990
92,19002,14,Centre,Authority,Y,N,N,1/1/2003 0:00:00,4140118,26572.816884799998661,12190246.042899999767542,SPRING TWP WATER AUTH,6962643.056549999862909
93,20066,14,Centre,Mobile Home Park,Y,N,N,1/1/2003 0:00:00,4140124,2093.984360739999829,164583.036404999991646,RIDGE CREST COMM,93500.365373199994792
94,19032,16,Clarion,Authority,N,Y,Y,1/1/2003 0:00:00,6160026,17704.095262700000603,3310773.358219999819994,HAWTHORN REDBANK REDBANK MUNI AUTH,1882878.045880000106990
95,19033,16,Clarion,Municipal,Y,N,N,1/1/2003 0:00:00,6160005,11712.985838399999921,4084699.139419999904931,KNOX MUNI WATER WORKS,2307977.804570000153035
96,19037,16,Clarion,Authority,N,N,Y,3/17/2016 0:00:00,6160012,56751.063643300003605,8919594.315540000796318,RIMERSBURG BORO MUNI AUTH,5071740.755839999765158
97,20508,16,Clarion,Private Investor Owned,Y,N,N,3/3/2016 0:00:00,6160039,11555.864409199999500,7078775.118300000205636,LUCINDA WATER CO,3990685.653799999970943
98,19005,14,Centre,Private Investor Owned,Y,N,N,3/5/2018 0:00:00,4140081,28613.723738000000594,13022806.217199999839067,PA AMER WATER CO NITTANY,7409630.097230000421405
99,18373,18,Clinton,Association,Y,N,N,3/29/2015 0:00:00,4180066,2754.614370249999865,403227.715794000017922,BOONEVILLE MUTUAL WATER CO INC,229316.135241000010865
100,18438,18,Clinton,Authority,N,N,Y,1/1/2003 0:00:00,4180060,4992.613238070000079,1008089.215289999963716,CHAPMAN TWP WATER AUTH,567638.301187000004575
101,19059,18,Clinton,Authority,Y,Y,Y,1/1/2003 0:00:00,4180048,62972.450211800001853,44530496.175499998033047,LOCK HAVEN CITY AUTH MCELHATTA,25228249.253800000995398
102,19069,18,Clinton,Municipal,Y,Y,N,1/1/2003 0:00:00,4180059,15138.894174900000507,2258773.786739999894053,SOUTH RENOVO WATER SYS,1272831.090799999888986
103,49424,18,Clinton,Institutional Health,Y,N,N,1/1/2003 0:00:00,4180071,1879.052189459999909,125280.746713999993517,EAGLE RIDGE PERSONAL CARE HOME,70916.746335599993472
104,19055,17,Clearfield,Authority,Y,Y,Y,1/1/2003 0:00:00,6170025,18383.662669800000003,8675941.247740000486374,IRVONA MUNI AUTH,4971967.425160000100732
105,52612,01,Adams,Private Investor Owned,Y,N,N,3/14/2006 0:00:00,7010057,6993.452944700000444,2779215.065210000146180,AQUA PA LINKS SYS,1641867.768380000023171
106,18166,40,Luzerne,Private Investor Owned,Y,N,N,2/12/2015 0:00:00,2400012,3211.789016289999836,545586.315871999948286,AQUA PA FIELDCREST,307654.205781000026036
107,19056,17,Clearfield,Authority,N,N,Y,1/1/2003 0:00:00,6170034,56639.225061899996945,148013033.756000012159348,UNION TWP MUNI AUTH,83996878.547999992966652
108,19048,17,Clearfield,Authority,Y,Y,N,1/1/2003 0:00:00,6170041,79618.454699299996719,78684011.638899996876717,COOPER TWP MUNI AUTH,44787387.577299997210503
109,19697,17,Clearfield,Authority,Y,Y,Y,3/12/2018 0:00:00,6170052,80437.131926000001840,22964914.489900000393391,BCI MUNI AUTH,13172385.344200000166893
110,19044,17,Clearfield,Authority,Y,Y,N,1/1/2003 0:00:00,6170013,103644.137831999993068,67021661.965199999511242,PIKE TWP MUNI AUTH,38168357.307999998331070
111,18483,17,Clearfield,Association,Y,N,N,1/1/2003 0:00:00,6170036,263023.002440000011120,131431818.761000007390976,BRADY TWP WATER ASSN,74714702.255899995565414
112,19098,21,Cumberland,Institutional Correctional,Y,Y,Y,1/1/2003 0:00:00,7210046,12368.693384500000320,4504764.459370000287890,CAMP HILL STATE CORR INST,2623836.742589999921620
113,18434,21,Cumberland,Mobile Home Park,Y,N,N,2/28/2017 0:00:00,7210013,1909.258069080000041,182811.688240999996196,ROLLING HILLS ESTATES,106463.213241999997990
114,19100,21,Cumberland,Authority,Y,Y,Y,1/1/2003 0:00:00,7210037,27958.884509899999102,7425582.706360000185668,MT HOLLY SPRINGS BORO AUTH,4337442.535520000383258
115,20281,21,Cumberland,Mobile Home Park,Y,N,N,1/1/2003 0:00:00,7210003,700.364906593000001,31317.449684999999590,HARMONY ESTATES MHP,18229.037913100000878
116,20286,21,Cumberland,Mobile Home Park,Y,N,N,1/1/2003 0:00:00,7210056,2354.134672759999830,240019.835327999986475,BLUE MOUNTAIN HEIGHTS MHP,139867.824519999994664
117,20288,21,Cumberland,Mobile Home Park,Y,N,N,2/28/2017 0:00:00,7210059,1799.769566039999972,173208.767281999986153,MOUNTAIN VIEW TERRACE MHP,100846.383358000006410
118,20290,21,Cumberland,Mobile Home Park,Y,N,N,2/28/2017 0:00:00,7210061,1899.350075880000077,192605.261112000007415,CONODOGUINET MOBILE ESTATES,112264.525850999998511
119,20433,21,Cumberland,Mobile Home Park,Y,N,N,2/28/2017 0:00:00,7210065,2359.513895250000132,249464.513880000013160,COUNTRY VIEW ESTATES MHP,145227.257581000012578
120,20513,21,Cumberland,Mobile Home Park,Y,N,N,3/23/2015 0:00:00,7210066,1214.220795369999905,90631.169953400007216,SOUTHAMPTON MANOR MHP,53037.547407999998541
121,18222,21,Cumberland,Authority,N,Y,Y,3/1/2016 0:00:00,7210049,48974.027524899996934,17173661.070700000971556,NORTH MIDDLETON AUTH,9998989.085030000656843
122,19682,21,Cumberland,Private Investor Owned,Y,N,Y,3/23/2015 0:00:00,7210054,12343.298287199999322,6019418.032399999909103,SUEZ WATER PA CENTER SQUARE,3512056.410569999832660
123,19106,21,Cumberland,Private Investor Owned,Y,N,Y,3/23/2015 0:00:00,7210027,14126.295767100000376,6643334.994350000284612,SUEZ WATER PA GRANTHAM,3875841.944230000022799
124,19096,21,Cumberland,Private Investor Owned,Y,Y,Y,3/24/2015 0:00:00,7210028,58590.932190799998352,90187555.615299999713898,SUEZ WATER PA MECHANICSBURG,52571089.733300000429153
125,19188,31,Huntingdon,Authority,Y,N,N,3/1/2018 0:00:00,4310023,5373.791397590000088,1785562.925120000028983,BROAD TOP CITY WATER AUTH,1040435.706800000043586
126,20424,23,Delaware,Association,Y,N,N,1/1/2003 0:00:00,1230026,1075.355381240000042,52885.574846700001217,SOUTHPOINT HOMEOWNERS ASSN,31108.797226700000465
127,18255,25,Erie,Mobile Home Park,Y,N,N,1/1/2003 0:00:00,6250055,2071.518323769999824,270054.947318000020459,COUNTRY GARDENS TRAILER COURT,148949.775192000000970
128,18440,25,Erie,Mobile Home Park,N,Y,N,1/1/2003 0:00:00,6250084,3165.278813790000186,411851.442802999983542,WOODHAVEN MHP,226666.413276000006590
129,19133,25,Erie,Municipal,Y,N,N,1/1/2003 0:00:00,6250007,13526.020306599999458,6627843.708809999749064,ALBION BORO WATER SYS,3670230.818299999926239
130,19134,25,Erie,Authority,Y,N,N,3/3/2017 0:00:00,6250022,21992.104686599999695,11641569.616299999877810,EDINBORO WATER AUTH,6449453.916770000010729
131,19136,25,Erie,Private Investor Owned,Y,N,N,1/1/2003 0:00:00,6250035,5668.114195269999982,1668477.506280000088736,PALMER SHORE WATER,919355.695428999955766
132,19138,25,Erie,Municipal,Y,N,N,1/1/2003 0:00:00,6250056,17247.516080900000816,7441445.425569999963045,LAKE CITY BORO WATER DEPT,4104393.788569999858737
133,19141,25,Erie,Authority,Y,N,N,1/1/2003 0:00:00,6250065,16720.284773300001689,3432263.802850000094622,WATERFORD MUNI WATER AUTH,1897293.511729999911040
134,19124,23,Delaware,Private Investor Owned,N,N,Y,3/26/2015 0:00:00,1230012,29585.922358499999973,19844913.073300000280142,SUEZ WATER PA BETHEL,11684468.372199999168515
135,19689,25,Erie,Authority,N,Y,N,1/1/2003 0:00:00,6250064,19621.117091799998889,7260142.093960000202060,UNION CITY MUNI AUTH,4019489.605599999893457
136,20212,25,Erie,Mobile Home Park,Y,N,N,1/27/2016 0:00:00,6250017,2429.808504099999936,343558.194056999986060,LOVETTS MHP,190150.927048999990802
137,20213,25,Erie,Mobile Home Park,Y,N,N,1/1/2003 0:00:00,6250018,935.351168010000038,49184.984524899999087,EDINBORO MHP SOUTH,27259.827993099999730
138,20214,25,Erie,Mobile Home Park,Y,N,N,1/1/2003 0:00:00,6250019,575.849579362999975,20642.427395499998966,EDINBORO MHP NORTH,11439.910597800000687
139,20216,25,Erie,Mobile Home Park,Y,N,N,1/1/2003 0:00:00,6250023,830.910375718999944,33442.776595700001053,SUNNY ACRES MHP,18443.088288200000534
140,20218,25,Erie,Mobile Home Park,Y,N,N,3/11/2018 0:00:00,6250044,1442.637159999999994,72912.788857699997607,CROSS STATION MHP,40271.647310599997581
141,20219,25,Erie,Mobile Home Park,Y,N,N,1/1/2003 0:00:00,6250053,1362.958920260000014,113974.056486999994377,PEACEFUL ACRES MHP,62839.757827000001271
142,37639,25,Erie,Mobile Home Park,Y,N,N,1/1/2003 0:00:00,6250804,1163.493098800000098,41981.567818299998180,DAVIS ESTATES,23146.142790699999750
143,20221,25,Erie,Association,Y,N,N,1/1/2003 0:00:00,6250074,2231.311002079999980,308269.595650999981444,SUNNYDALE SUBDIVISION,169938.707732000009855
144,19165,28,Franklin,Association,Y,N,N,1/1/2003 0:00:00,7280033,6799.009006289999888,808221.758446999941953,DRY RUN WATER SYS,471420.966960999998264
145,19167,28,Franklin,Authority,N,Y,N,1/18/2016 0:00:00,7280045,41397.172057700001460,100252860.841999992728233,FRANKLIN CNTY GEN AUTH,58736991.104199998080730
146,19168,28,Franklin,Municipal,Y,N,N,1/1/2003 0:00:00,7280040,15419.910612300000139,2931269.811900000087917,MONT ALTO MUNI AUTH,1726056.077049999963492
147,19624,64,Wayne,Private Investor Owned,Y,N,N,3/7/2017 0:00:00,2640044,12138.511168499999258,4324826.118150000460446,HAMLIN WATER COMPANY,2430934.829940000083297
148,19691,28,Franklin,Authority,Y,Y,N,3/30/2015 0:00:00,7280021,25699.019778999998380,6581994.886500000022352,MERCERSBURG BORO AUTH,3876383.822099999990314
149,20301,28,Franklin,Mobile Home Park,Y,N,N,3/8/2016 0:00:00,7280010,852.905895543000042,42036.500803199996881,GREEN GROVE TRAILER COURT,24809.061922400000185
150,20303,28,Franklin,Mobile Home Park,Y,N,N,1/20/2016 0:00:00,7280017,1454.976808180000035,116625.098790000003646,SHANGRI-LA MOBILE HOME PARK,68857.437700900001801
151,20304,28,Franklin,Mobile Home Park,Y,N,N,1/1/2003 0:00:00,7280027,1349.206099049999921,97312.262047299998812,WADEL MHP,57034.104611100003240
152,20305,28,Franklin,Mobile Home Park,Y,N,N,1/1/2003 0:00:00,7280047,969.074803739000004,57995.085446999997657,VALLEY VIEW MANOR MHP,34160.634501200001978
153,20308,28,Franklin,Association,Y,N,N,1/1/2003 0:00:00,7280055,2116.617384980000224,287815.496485000010580,INDIAN LAKE CAMP CORP,168391.869338999997126
154,20306,28,Franklin,Mobile Home Park,Y,N,N,1/11/2018 0:00:00,7280053,3435.451255299999957,260752.153636000002734,MT ROCK MANOR MHP,152758.665674999996554
155,20436,28,Franklin,Association,Y,N,N,3/1/2017 0:00:00,7280061,5385.430106830000113,335692.760123000014573,SILVER SPRING WATER ASSN,196861.348490000003949
156,20469,28,Franklin,Authority,Y,N,N,1/1/2003 0:00:00,7280063,6792.566601309999896,1197620.680699999909848,ANTRIM TWP MUNI AUTH WATER SYS,707366.848663000040688
157,20514,28,Franklin,Institutional Health,Y,N,N,1/1/2003 0:00:00,7280062,214.580611933000000,2673.717491249999966,MICHAUX MANOR LIVING CENTER,1574.373828519999961
158,18561,32,Indiana,Authority,N,N,Y,1/1/2003 0:00:00,5320046,9877.210536570000841,1677885.821680000051856,ICMSA LUCERNE SYSTEM,967511.781033999985084
