"","PWSID","PWS_NAME","NPM_CANDIDATE","PRIMACY_AGENCY_CODE","EPA_REGION","SEASON_BEGIN_DATE","SEASON_END_DATE","PWS_ACTIVITY_CODE","PWS_DEACTIVATION_DATE","PWS_TYPE_CODE","CDS_ID","GW_SW_CODE","OWNER_TYPE_CODE","POPULATION_SERVED_COUNT","PRIMACY_TYPE","PRIMARY_SOURCE_CODE","IS_GRANT_ELIGIBLE_IND","IS_WHOLESALER_IND","IS_SCHOOL_OR_DAYCARE_IND","SERVICE_CONNECTIONS_COUNT","SUBMISSION_STATUS_CODE","ORG_NAME","CITY_NAME","ZIP_CODE","STATE_CODE","SOURCE_WATER_PROTECTION_CODE","SOURCE_PROTECTION_BEGIN_DATE","OUTSTANDING_PERFORMER","OUTSTANDING_PERFORM_BEGIN_DATE","CITIES_SERVED","COUNTIES_SERVED","PWSID_STATE"
"87","PA4490298","PA AMERICAN MCEWENSVILLE","Y","PA","3","","","A","","CWS",NA,"GW","P","282","State","GW","Y","N","N","118","Y","PA AMERICAN MCEWENSVILLE","MCEWENSVILLE","17749","PA","","","","","Not Reported","Northumberland","PA"
"108","PA1150185","VALLEY SPRINGS WATER CO","Y","PA","3","","","A","","CWS",NA,"SW","P","2500","State","SWP","Y","N","N","392","Y","VALLEY SPRINGS WATER CO","COATESVILLE","19320","PA","","","","","Not Reported","Chester","PA"
"109","PA1150186","COATESVILLE VETERANS ADM HOSP","Y","PA","3","","","A","","CWS",NA,"SW","F","2000","State","SWP","Y","N","N","25","Y","COATESVILLE VETERANS ADM HOSP","COATESVILLE","19320","PA","","","","","Not Reported","Chester","PA"
"156","PA4340008","MIFFLINTOWN MUNI AUTH","Y","PA","3","","","A","","CWS",NA,"SW","L","4450","State","SW","Y","N","N","1500","Y","MIFFLINTOWN MUNI AUTH","MIFFLINTOWN","17059","PA","","","","","Not Reported","Juniata","PA"
"182","PA5040017","BRIGHTON TWP MUNI AUTH","Y","PA","3","","","A","","CWS",NA,"GW","L","7920","State","GWP","Y","N","N","3045","Y","BRIGHTON TWP MUNI AUTH","BEAVER","15009","PA","","","","","Not Reported","Beaver","PA"
"183","PA5040078","COLE MOBILE HOME PARK","Y","PA","3","","","A","","CWS",NA,"GW","P","70","State","GW","Y","N","N","40","Y","COLE MOBILE HOME PARK","DARLINGTON","16115","PA","","","","","Not Reported","Beaver","PA"
"184","PA5040080","BADEN BORO WATER DEPT","Y","PA","3","","","A","","CWS",NA,"SW","L","4377","State","SWP","Y","N","N","1644","Y","BADEN BORO WATER DEPT","BADEN","15005","PA","","","","","Not Reported","Beaver","PA"
"185","PA5040085","NEW SEWICKLEY TWP MUNI AUTH","Y","PA","3","","","A","","CWS",NA,"SW","L","4276","State","SWP","Y","N","N","829","Y","NEW SEWICKLEY TWP MUNI AUTH","ROCHESTER","15074","PA","","","","","Not Reported","Beaver","PA"
"186","PA5040086","SHIPPINGPORT BORO WATER SYS","Y","PA","3","","","A","","CWS",NA,"SW","L","222","State","SWP","Y","N","N","97","Y","SHIPPINGPORT BORO WATER SYS","SHIPPINGPORT","15077","PA","","","","","Not Reported","Beaver","PA"
"187","PA5040087","MARION TWP WATER SYS","Y","PA","3","","","A","","CWS",NA,"SW","L","700","State","SWP","Y","N","N","121","Y","MARION TWP WATER SYS","FOMBELL","16123","PA","","","","","Not Reported","Beaver","PA"
"193","PA5030002","DAYTON MUNI WATER DEPT","Y","PA","3","","","A","","CWS",NA,"GW","L","583","State","GW","Y","N","N","289","Y","DAYTON MUNI WATER DEPT","DAYTON","16222","PA","","","","","Not Reported","Armstrong","PA"
"194","PA5030004","E ARMSTRONG CNTY MUNI AUTH","Y","PA","3","","","A","","CWS",NA,"GW","L","1875","State","GW","Y","N","N","372","Y","E ARMSTRONG CNTY MUNI AUTH","ELDERTON","15736","PA","","","","","Not Reported","Armstrong","PA"
"195","PA1090159","BUCKINGHAM TWP FURLONG","Y","PA","3","","","A","","CWS",NA,"GW","L","3100","State","GW","Y","N","N","169","Y","BUCKINGHAM TWP FURLONG","BUCKINGHAM","18912","PA","","","","","Not Reported","Bucks","PA"
"196","PA1090160","BCWSA FOX RUN PRESERVE","Y","PA","3","","","A","","CWS",NA,"GW","L","220","State","GW","Y","N","N","108","Y","BCWSA FOX RUN PRESERVE","WARRINGTON","18976","PA","","","","","Not Reported","Bucks","PA"
"199","PA4340009","RICHFIELD AREA JOINT AUTH","Y","PA","3","","","A","","CWS",NA,"GW","L","1000","State","GW","Y","N","N","230","Y","RICHFIELD AREA JOINT AUTH","RICHFIELD","17086","PA","","","","","Not Reported","Juniata","PA"
"220","PA4550005","SELINSGROVE MUN WATERWORKS","Y","PA","3","","","A","","CWS",NA,"GW","L","5584","State","GW","Y","N","N","1887","Y","SELINSGROVE MUN WATERWORKS","SELINSGROVE","17870","PA","","","","","Not Reported","Snyder","PA"
"221","PA4550006","ADAMS TWP MUNICIPAL AUTHORITY","Y","PA","3","","","A","","CWS",NA,"GW","L","225","State","GW","Y","N","N","69","Y","ADAMS TWP MUNICIPAL AUTHORITY","TROXELVILLE","17882","PA","","","","","Not Reported","Snyder","PA"
"222","PA4550008","AQUA PA KRATZERVILLE","Y","PA","3","","","A","","CWS",NA,"GW","P","435","State","GW","Y","N","N","145","Y","AQUA PA KRATZERVILLE","SHAMOKIN","17872","PA","","","","","Not Reported","Snyder","PA"
"223","PA4550009","AQUA PA MONROE TWP","Y","PA","3","","","A","","CWS",NA,"GW","P","2400","State","GW","Y","N","N","948","Y","AQUA PA MONROE TWP","SHAMOKIN","17872","PA","","","","","Not Reported","Snyder","PA"
"224","PA4550011","SPRING TWP MUNICIPAL AUTHORITY","Y","PA","3","","","A","","CWS",NA,"SW","L","805","State","SW","Y","N","N","350","Y","SPRING TWP MUNICIPAL AUTHORITY","BEAVER SPRINGS","17812","PA","","","","","Not Reported","Snyder","PA"
"225","PA4550012","BEAVERTOWN MUNICIPAL AUTHORITY","Y","PA","3","","","A","","CWS",NA,"GW","L","935","State","GW","Y","N","N","440","Y","BEAVERTOWN MUNICIPAL AUTHORITY","BEAVERTOWN","17813","PA","","","","","Not Reported","Snyder","PA"
"226","PA5030005","FORD CITY MUNI WATER WORKS","Y","PA","3","","","A","","CWS",NA,"GW","L","2991","State","GW","Y","N","N","1710","Y","FORD CITY MUNI WATER WORKS","FORD CITY","16226","PA","","","","","Not Reported","Armstrong","PA"
"227","PA5030006","MANOR TWP JT MUNI AUTH","Y","PA","3","","","A","","CWS",NA,"GW","L","6744","State","GW","Y","N","N","2471","Y","MANOR TWP JT MUNI AUTH","FORD CITY","16226","PA","","","","","Not Reported","Armstrong","PA"
"228","PA5030008","PA-AMERICAN WATER CO-KITTANNIG","Y","PA","3","","","A","","CWS",NA,"SW","P","5000","State","SW","Y","N","N","1970","Y","PA-AMERICAN WATER CO-KITTANNIG","BUTLER","16001","PA","","","","","Not Reported","Armstrong","PA"
"229","PA5030010","GILPIN TWP MUNI AUTH","Y","PA","3","","","A","","CWS",NA,"SW","L","2050","State","SWP","Y","N","N","702","Y","GILPIN TWP MUNI AUTH","LEECHBURG","15656","PA","","","","","Not Reported","Armstrong","PA"
"230","PA5030011","PARKER AREA WATER AUTH","Y","PA","3","","","A","","CWS",NA,"SW","L","900","State","SW","Y","N","N","400","Y","PARKER AREA WATER AUTH","PARKER","16049","PA","","","","","Not Reported","Armstrong","PA"
"231","PA5030012","RURAL VALLEY WATER WORKS","Y","PA","3","","","A","","CWS",NA,"GW","L","1000","State","GW","Y","N","N","376","Y","RURAL VALLEY WATER WORKS","RURAL VALLEY","16249","PA","","","","","Not Reported","Armstrong","PA"
"232","PA5030013","KITTANNING PLUMCREEK WATR AUTH","Y","PA","3","","","A","","CWS",NA,"GW","L","600","State","GWP","Y","N","N","233","Y","KITTANNING PLUMCREEK WATR AUTH","KITTANNING","16201","PA","","","","","Not Reported","Armstrong","PA"
"233","PA5030016","TEMPLETON WATER CO","Y","PA","3","","","A","","CWS",NA,"GW","P","474","State","GW","Y","N","N","187","Y","TEMPLETON WATER CO","TEMPLETON","16259","PA","","","","","Not Reported","Armstrong","PA"
"234","PA5030019","BUFFALO TWP MUN AUTH FREEPORT","Y","PA","3","","","A","","CWS",NA,"SW","L","5849","State","SW","Y","N","N","2400","Y","BUFFALO TWP MUN AUTH FREEPORT","SARVER","16055","PA","","","","","Not Reported","Armstrong","PA"
"235","PA5030021","COWANSHANNOCK MA-MARGARET SYS","Y","PA","3","","","A","","CWS",NA,"GW","L","95","State","GW","Y","N","N","34","Y","COWANSHANNOCK MA-MARGARET SYS","NUMINE","16244","PA","","","","","Not Reported","Armstrong","PA"
"236","PA5030022","COWANSHANNOCK M A SAGAMORE SYS","Y","PA","3","","","A","","CWS",NA,"GW","L","300","State","GW","Y","N","N","115","Y","COWANSHANNOCK M A SAGAMORE SYS","NU MINE","16244","PA","","","","","Not Reported","Armstrong","PA"
"237","PA5030024","MAHONING TWP MUNI AUTH","Y","PA","3","","","A","","CWS",NA,"SW","L","900","State","SWP","Y","N","N","346","Y","MAHONING TWP MUNI AUTH","DISTANT","16223","PA","","","","","Not Reported","Armstrong","PA"
"238","PA5030025","PARKS TWP MUNI AUTH","Y","PA","3","","","A","","CWS",NA,"SW","L","2049","State","SWP","Y","N","N","553","Y","PARKS TWP MUNI AUTH","VANDERGRIFT","15690","PA","","","","","Not Reported","Armstrong","PA"
"239","PA5030027","WORTHINGTON WEST FRANKLIN JMA","Y","PA","3","","","A","","CWS",NA,"GW","L","1500","State","GW","Y","N","N","581","Y","WORTHINGTON WEST FRANKLIN JMA","WORTHINGTON","16262","PA","","","","","Not Reported","Armstrong","PA"
"240","PA5030034","SUGAR CREEK RESTHOME","Y","PA","3","","","A","","CWS",NA,"GW","P","176","State","GW","Y","N","N","12","Y","SUGAR CREEK RESTHOME","WORTHINGTON","16262","PA","","","","","Not Reported","Armstrong","PA"
"241","PA5030037","BRADYS BEND WATER & SEW AUTH","Y","PA","3","","","A","","CWS",NA,"SW","L","625","State","GU","Y","N","N","151","Y","BRADYS BEND WATER & SEW AUTH","EAST BRADY","16028","PA","","","","","Not Reported","Armstrong","PA"
"242","PA5030043","KITTANNING SUBURB JT WATER AUT","Y","PA","3","","","A","","CWS",NA,"SW","L","8000","State","SW","Y","N","N","2103","Y","KITTANNING SUBURB JT WATER AUT","ADRIAN","16210","PA","","","","","Not Reported","Armstrong","PA"
"244","PA4560025","INDIAN LAKE BORO WATERWORKS","Y","PA","3","","","A","","CWS",NA,"GW","L","1246","State","GW","Y","N","N","592","Y","INDIAN LAKE BORO WATERWORKS","CENTRAL CITY","15926","PA","","","","","Not Reported","Somerset","PA"
"245","PA4560028","ADDISON AREA WATER AUTH","Y","PA","3","","","A","","CWS",NA,"GW","L","284","State","GW","Y","N","N","147","Y","ADDISON AREA WATER AUTH","ADDISON","15411","PA","","","","","Not Reported","Somerset","PA"
"246","PA4560029","BERLIN BORO MUNI AUTH","Y","PA","3","","","A","","CWS",NA,"GW","L","2450","State","GW","Y","N","N","900","Y","BERLIN BORO MUNI AUTH","BERLIN","15530","PA","","","","","Not Reported","Somerset","PA"
"247","PA4560030","BOSWELL BORO MUNI AUTH","Y","PA","3","","","A","","CWS",NA,"SW","L","2900","State","SWP","Y","N","N","911","Y","BOSWELL BORO MUNI AUTH","BOSWELL","15531","PA","","","","","Not Reported","Somerset","PA"
"248","PA4560031","LINCOLN TWP MUNI AUTH","Y","PA","3","","","A","","CWS",NA,"SW","L","1400","State","SWP","Y","N","N","503","Y","LINCOLN TWP MUNI AUTH","SIPESVILLE","15561","PA","","","","","Not Reported","Somerset","PA"
"249","PA4560032","GAHAGEN WATER ASSN","Y","PA","3","","","A","","CWS",NA,"SW","P","49","State","SW","Y","N","N","22","Y","GAHAGEN WATER ASSN","CENTRAL CITY","15926","PA","","","","","Not Reported","Somerset","PA"
"250","PA4560033","CONFLUENCE BORO MUNI AUTH","Y","PA","3","","","A","","CWS",NA,"GW","L","950","State","GW","Y","N","N","485","Y","CONFLUENCE BORO MUNI AUTH","CONFLUENCE","15424","PA","","","","","Not Reported","Somerset","PA"
"251","PA4560034","BROOK HAVEN ACRES","Y","PA","3","","","A","","CWS",NA,"GW","P","75","State","GW","Y","N","N","32","Y","BROOK HAVEN ACRES","CHAMBERSBURG","17201","PA","","","","","Not Reported","Somerset","PA"
"252","PA4560035","GARRETT BORO WATER SYS","Y","PA","3","","","A","","CWS",NA,"GW","L","449","State","GW","Y","N","N","215","Y","GARRETT BORO WATER SYS","GARRETT","15542","PA","","","","","Not Reported","Somerset","PA"
"253","PA4560036","GRAY AREA WATR AUTH OF JEN TWP","Y","PA","3","","","A","","CWS",NA,"GW","L","700","State","GW","Y","N","N","203","Y","GRAY AREA WATR AUTH OF JEN TWP","GRAY","15544","PA","","","","","Not Reported","Somerset","PA"
"254","PA4560037","HOOVERSVILLE MUNI AUTH","Y","PA","3","","","A","","CWS",NA,"SW","L","645","State","SW","Y","N","N","365","Y","HOOVERSVILLE MUNI AUTH","HOOVERSVILLE","15936","PA","","","","","Not Reported","Somerset","PA"
"255","PA4560038","JENNERSTOWN MUNI AUTH","Y","PA","3","","","A","","CWS",NA,"GW","L","1625","State","GW","Y","N","N","650","Y","JENNERSTOWN MUNI AUTH","JENNERSTOWN","15547","PA","","","","","Not Reported","Somerset","PA"
"256","PA4560041","SALISBURY BORO WATER COMM","Y","PA","3","","","A","","CWS",NA,"GW","L","725","State","GW","Y","N","N","388","Y","SALISBURY BORO WATER COMM","SALISBURY","15558","PA","","","","","Not Reported","Somerset","PA"
"262","PA1150157","WARWICK WATER WORKS","Y","PA","3","","","A","","CWS",NA,"GW","P","98","State","GW","Y","N","N","42","Y","WARWICK WATER WORKS","NORRISTOWN","19403","PA","","","","","Not Reported","Chester","PA"
"263","PA1150164","WOODBROOKE WATER AUTHORITY","Y","PA","3","","","A","","CWS",NA,"GW","P","87","State","GW","Y","N","N","34","Y","WOODBROOKE WATER AUTHORITY","COATESVILLE","19320","PA","","","","","Not Reported","Chester","PA"
"264","PA1150165","LONDON GROVE TWP MUN AUTH","Y","PA","3","","","A","","CWS",NA,"SW","L","4770","State","SWP","Y","N","N","1566","Y","LONDON GROVE TWP MUN AUTH","WEST GROVE","19390","PA","","","","","Not Reported","Chester","PA"
"265","PA1150166","PA AMERICAN ROYERSFORD","Y","PA","3","","","A","","CWS",NA,"SW","P","40715","State","SW","Y","N","N","11708","Y","PA AMERICAN ROYERSFORD","SPRING CITY","19475","PA","","","","","Not Reported","Chester","PA"
"266","PA1150168","CAMPHILL VILLAGE KIMBERTON HLS","Y","PA","3","","","A","","CWS",NA,"GW","P","100","State","GW","Y","N","N","11","Y","CAMPHILL VILLAGE KIMBERTON HLS","KIMBERTON","19442","PA","","","","","Not Reported","Chester","PA"
"288","PA5030045","WEST KITTANNING MUNI AUTH","Y","PA","3","","","A","","CWS",NA,"SW","L","2000","State","SWP","Y","N","N","623","Y","WEST KITTANNING MUNI AUTH","KITTANNING","16201","PA","","","","","Not Reported","Armstrong","PA"
"289","PA5030047","COWANSHAN YATESBORO NUMINE SYS","Y","PA","3","","","A","","CWS",NA,"GW","L","1200","State","GW","Y","N","N","287","Y","COWANSHAN YATESBORO NUMINE SYS","NUMINE","16244","PA","","","","","Not Reported","Armstrong","PA"
"290","PA5030049","SOUTH BUFFALO TWP MUNI AUTH","Y","PA","3","","","A","","CWS",NA,"SW","L","1230","State","SWP","Y","N","N","482","Y","SOUTH BUFFALO TWP MUNI AUTH","FREEPORT","16229","PA","","","","","Not Reported","Armstrong","PA"
"291","PA4550013","FREEBURG MUNICIPAL AUTHORITY","Y","PA","3","","","A","","CWS",NA,"SW","L","685","State","GU","Y","N","N","258","Y","FREEBURG MUNICIPAL AUTHORITY","FREEBURG","17827","PA","","","","","Not Reported","Snyder","PA"
"303","PA1150064","SHADYSIDE MHP","Y","PA","3","","","A","","CWS",NA,"GW","P","55","State","GW","Y","N","N","16","Y","SHADYSIDE MHP","OXFORD","19363","PA","","","","","Not Reported","Chester","PA"
"304","PA1150150","CALN MOBILE HOME PARK","Y","PA","3","","","A","","CWS",NA,"GW","P","30","State","GW","Y","N","N","18","Y","CALN MOBILE HOME PARK","PEACH BOTTOM","17563","PA","","","","","Not Reported","Chester","PA"
"314","PA5040018","ANKROM ACRES MHP","Y","PA","3","","","A","","CWS",NA,"GW","P","24","State","GW","Y","N","N","28","Y","ANKROM ACRES MHP","CLINTON","15026","PA","","","","","Not Reported","Beaver","PA"
"315","PA5040019","INDEPENDENCE PARK","Y","PA","3","","","A","","CWS",NA,"GW","P","225","State","GW","Y","N","N","90","Y","INDEPENDENCE PARK","BELLE VERNON","15012","PA","","","","","Not Reported","Beaver","PA"
"316","PA5040022","BOROUGH OF CONWAY","Y","PA","3","","","A","","CWS",NA,"SW","L","2176","State","SWP","Y","N","N","995","Y","BOROUGH OF CONWAY","CONWAY","15027","PA","","","","","Not Reported","Beaver","PA"
"317","PA5040026","COLONIAL GLENN ESTATES","Y","PA","3","","","A","","CWS",NA,"GW","P","50","State","GW","Y","N","N","29","Y","COLONIAL GLENN ESTATES","PITTSBURGH","15234","PA","","","","","Not Reported","Beaver","PA"
"318","PA5040028","KNOB VUE ESTATES","Y","PA","3","","","A","","CWS",NA,"GW","P","150","State","GW","Y","N","N","100","Y","KNOB VUE ESTATES","BADEN","15005","PA","","","","","Not Reported","Beaver","PA"
"319","PA5040036","INDUSTRY BORO MUNI AUTH","Y","PA","3","","","A","","CWS",NA,"GW","L","1865","State","GW","Y","N","N","699","Y","INDUSTRY BORO MUNI AUTH","INDUSTRY","15052","PA","","","","","Not Reported","Beaver","PA"
"320","PA5040038","MIDLAND BORO MUNI AUTH","Y","PA","3","","","A","","CWS",NA,"SW","L","3100","State","SW","Y","N","N","1006","Y","MIDLAND BORO MUNI AUTH","MIDLAND","15059","PA","","","","","Not Reported","Beaver","PA"
"321","PA5040039","MONACA BORO WATER DEPT","Y","PA","3","","","A","","CWS",NA,"GW","L","6500","State","GW","Y","N","N","2476","Y","MONACA BORO WATER DEPT","MONACA","15061","PA","","","","","Not Reported","Beaver","PA"
"322","PA5040044","OHIOVILLE BORO MUNI AUTH","Y","PA","3","","","A","","CWS",NA,"GW","L","2750","State","GWP","Y","N","N","998","Y","OHIOVILLE BORO MUNI AUTH","INDUSTRY","15052","PA","","","","","Not Reported","Beaver","PA"
"334","PA5020003","ASPINWALL BORO WATER DEPT","Y","PA","3","","","A","","CWS",NA,"SW","L","3151","State","SWP","Y","N","N","1208","Y","ASPINWALL BORO WATER DEPT","PITTSBURGH","15215","PA","","","","","Not Reported","Allegheny","PA"
"335","PA5020004","BLAWNOX BORO WATER DEPT","Y","PA","3","","","A","","CWS",NA,"SW","L","2200","State","SWP","Y","N","N","727","Y","BLAWNOX BORO WATER DEPT","PITTSBURGH","15238","PA","","","","","Not Reported","Allegheny","PA"
"336","PA5020006","BRACKENRIDGE BORO WATER DEPT","Y","PA","3","","","A","","CWS",NA,"SW","L","3700","State","SW","Y","N","N","1363","Y","BRACKENRIDGE BORO WATER DEPT","BRACKENRIDGE","15014","PA","","","","","Not Reported","Allegheny","PA"
"337","PA5020007","BRADDOCK BORO WATER AUTH","Y","PA","3","","","A","","CWS",NA,"SW","L","2008","State","SWP","Y","N","N","688","Y","BRADDOCK BORO WATER AUTH","BRADDOCK","15104","PA","","","","","Not Reported","Allegheny","PA"
"338","PA5020008","CHESWICK BORO WATER DEPT","Y","PA","3","","","A","","CWS",NA,"GW","L","1861","State","GWP","Y","N","N","907","Y","CHESWICK BORO WATER DEPT","CHESWICK","15024","PA","","","","","Not Reported","Allegheny","PA"
"339","PA5020009","HARMAR TWP MUNI AUTH","Y","PA","3","","","A","","CWS",NA,"GW","L","3200","State","GW","Y","N","N","1087","Y","HARMAR TWP MUNI AUTH","CHESWICK","15024","PA","","","","","Not Reported","Allegheny","PA"
"340","PA5020010","CORAOPOLIS WATER & SEWER AUTH","Y","PA","3","","","A","","CWS",NA,"SW","L","6000","State","SWP","Y","N","N","2616","Y","CORAOPOLIS WATER & SEWER AUTH","CORAOPOLIS","15108","PA","","","","","Not Reported","Allegheny","PA"
"341","PA5020011","MOON TWP MUNI AUTH","Y","PA","3","","","A","","CWS",NA,"SW","L","38000","State","SW","Y","N","N","7938","Y","MOON TWP MUNI AUTH","CORAOPOLIS","15108","PA","","","","","Not Reported","Allegheny","PA"
