"","PGM_SYS_ACRNM","PGM_SYS_ID","REGISTRY_ID","PRIMARY_NAME","LOCATION_ADDRESS","SUPPLEMENTAL_LOCATION","CITY_NAME","COUNTY_NAME","FIPS_CODE","STATE_CODE","STATE_NAME","COUNTRY_NAME","POSTAL_CODE"
"16","NPDES","PAI133506",110000982535,"WYOMISSING BORO MS4","22 READING BLVD","","WYOMISSING","BERKS","PA011","PA","PENNSYLVANIA","USA","19610"
"17","NPDES","PAG132287",110055234991,"WILLIAMS TOWNSHIP","655 CIDER PRESS ROAD","","EASTON","NORTHAMPTON","PA095","PA","PENNSYLVANIA","USA","18042"
"18","NPDES","PAR216184",110055639876,"MORGAN TECHNICAL CERAMICS GBC MATERIALS","580 MONASTERY DR","","LATROBE","WESTMORELAND","PA129","PA","PENNSYLVANIA","USA","15650-2659"
"19","NPDES","PAG130093",110017811910,"COLWYN BORO MS4","221 SPRUCE ST","","COLWYN","DELAWARE","PA045","PA","PENNSYLVANIA","USA","19023-2908"
"20","NPDES","PAG130110",110017819958,"TRAPPE BORO MS4","525 W MAIN ST","","TRAPPE","MONTGOMERY","PA091","PA","PENNSYLVANIA","USA","19426-1923"
"21","NPDES","PAG130119",110055231903,"CHESTER HEIGHTS BORO MS4","PO BOX 658","222 LLEWELYN ROAD","CHESTER HEIGHTS","DELAWARE","PA045","PA","PENNSYLVANIA","USA","19017-0658"
"22","NPDES","PAI130541",110055231976,"SOUTH COVENTRY TWP MS4","1371 NEW PHILADELPHIA RD","","POTTSTOWN","CHESTER","PA029","PA","PENNSYLVANIA","USA","19465"
"23","NPDES","PAG133556",110055639705,"MS4 HUMMELSTOWN BORO","136 S HANOVER ST","","HUMMELSTOWN","DAUPHIN","PA043","PA","PENNSYLVANIA","USA","17036"
"24","NPDES","PAG133585",110055639741,"MS4 DUNCANSVILLE BORO","PO BOX 308","1146 3RD AVE","DUNCANSVILLE","BLAIR","PA013","PA","PENNSYLVANIA","USA","16635-0308"
"25","NPDES","PAG133595",110055639787,"MS4 YORK TWP","190 OAK RD","","DALLASTOWN","YORK","PA133","PA","PENNSYLVANIA","USA","17313-9300"
"26","NPDES","PAG133607",110055639803,"MS4 PA STATE UNIV HBG CAMPUS","77 W HARRISBURG PIKE","","HARRISBURG","DAUPHIN","PA043","PA","PENNSYLVANIA","USA","17057"
"27","NPDES","PAG133616",110055639812,"MS4 WORMLEYSBURG BORO","20 MARKET ST","","WORMLEYSBURG","CUMBERLAND","PA041","PA","PENNSYLVANIA","USA","17043-1699"
"28","NPDES","PAG133637",110055639830,"MS4 DERRY TOWNSHIP","670 CLEARWATER RD","","HERSHEY","DAUPHIN","PA043","PA","PENNSYLVANIA","USA","17033"
"29","NPDES","PAG138316",110017798882,"GIRARD BORO ERIE CNTY","34 MAIN ST W","","GIRARD","ERIE","PA049","PA","PENNSYLVANIA","USA","16417-1612"
"30","NPDES","PAR316111",110055231725,"CHARLEROI FAC","100 VISTA DR","","CHARLEROI","WASHINGTON","PA125","PA","PENNSYLVANIA","USA","15022-3486"
"31","NPDES","PAS326103",110055236757,"CARRIE FURNACE REDEV","W BRADDOCK AVE","","PITTSBURGH","ALLEGHENY","PA003","PA","PENNSYLVANIA","USA","15219"
"32","NPDES","PAG136156",110055636209,"PULASKI TWP STORM SEW SYS","3401 SUNFLOWER RD","","NEW BRIGHTON","","","PA","PENNSYLVANIA","USA","15066-2639"
"33","NPDES","PAG136197",110055636245,"WILKINSBURG BORO STORM SEW SYS MS4","605 ROSS AVE","","PITTSBURGH","ALLEGHENY","PA003","PA","PENNSYLVANIA","USA","15221"
"34","NPDES","PAG136230",110055636254,"VERSAILLES BORO STORM SEW SYS MS4","5100 WALNUT ST","","MCKEESPORT","ALLEGHENY","PA003","PA","PENNSYLVANIA","USA","15132"
"35","NPDES","PAG136337",110055636307,"BENTLEYVILLE BORO STORM SEW SYS MS4","900 MAIN ST","","BENTLEYVILLE","WASHINGTON","PA125","PA","PENNSYLVANIA","USA","15314"
"36","NPDES","PAG132240",110055639554,"N CATASAQUA BOROUGH MS4","P.O. BOX 150","1066 4TH STREET","CATASAUQUA","NORTHAMPTON","PA095","PA","PENNSYLVANIA","USA","18032"
"37","NPDES","PAG132263",110055639563,"PEN ARGYL BOROUGH","URBANIZED AREA ALLENTOWN BETHLEHEM 1","","PEN ARGYL BORO","NORTHAMPTON","PA095","PA","PENNSYLVANIA","USA","18072"
"38","NPDES","PAG133517",110055639625,"MS4 FLEETWOOD BORO","110 W ARCH ST STE 104","","FLEETWOOD","BERKS","PA011","PA","PENNSYLVANIA","USA","19522-1321"
"39","NPDES","PAG102243",110055238274,"LOCATION#1","SEE LAT/LONG","DISCHARGE POINT","DIMOCK AND BROOKLYN","SUSQUEHANNA","PA115","PA","PENNSYLVANIA","USA","18813"
"40","NPDES","PAG132204",110055636888,"WEISSPORT BOROUGH STORMWATER","440 ALLEN STREET","","WEISSPORT","CARBON","PA025","PA","PENNSYLVANIA","USA","18235"
"41","NPDES","PAG132231",110055636931,"HANOVER TOWNSHIP","1267 SANS SOUCI PARKWAY","","HANOVER TWP","LUZERNE","PA079","PA","PENNSYLVANIA","USA","18706"
"42","NPDES","PAG041093",110055232403,"GIOVANNI A CIOTTI SRSTP","11299 PENNSIDE RD","","ALBION","ERIE","PA049","PA","PENNSYLVANIA","USA","16401"
"43","NPDES","PAG106164",110055637529,"LINE 1711 REPLACEMENT NO 5","CAMP FAITH RD","","CHERRYHILL","INDIANA","PA063","PA","PENNSYLVANIA","USA","15765"
"44","NPDES","PAR803735",110032890138,"MEYER OIL COMPANY CLEONA","107 NORTH WASHINGTON STREET","","CLEONA","LEBANON","PA075","PA","PENNSYLVANIA","USA","17042"
"45","NPDES","PAG132230",110055233607,"AVOCA BORO LUZERNE CNTY MS4","SCRANTON URBANIZED AREA 19","","AVOCA","LUZERNE","PA079","PA","PENNSYLVANIA","USA","18641"
"46","NPDES","PAG132241",110055233698,"FACTORYVILLE BORO WYOMING COUNTY","P.O. BOX 277","","FACTORYVILLE","WYOMING","PA131","PA","PENNSYLVANIA","USA","18419"
"47","NPDES","PAG132242",110055233714,"SWOYERSVILLE BOROUGH MS4 SYSTEM","SCRANTON URBANIZED AREA 19","","KINGSTON","LUZERNE","PA079","PA","PENNSYLVANIA","USA","18704"
"48","NPDES","PAR806275",110055634817,"GNS HOLDINGS LLC","104 WATER ST","","NORTH CHARLEROI","WASHINGTON","PA125","PA","PENNSYLVANIA","USA","15022"
"49","NPDES","PAG132219",110055233108,"WILKES BARRE TWP LUZERNE COUNTY MS4 SYSTEM","URBANIZED AREA SCRANTON 19","","WILKES-BARRE","LUZERNE","PA079","PA","PENNSYLVANIA","USA","18702"
"50","NPDES","PAG132222",110055233135,"LARKVILLE BORO LUZERNE COUNTY","211 EAST STATE STREET","","LARKSVILLE","LUZERNE","PA079","PA","PENNSYLVANIA","USA","18704"
"51","NPDES","PAR150011",110001065043,"TAVO PACKAGING INC","2 CANAL RD","","FAIRLESS HILLS","BUCKS","PA017","PA","PENNSYLVANIA","USA","19030-4302"
"52","NPDES","PAG130086",110055637805,"RIDLEY PARK BORO MS4","105 E WARD ST","","RIDLEY PARK","DELAWARE","PA045","PA","PENNSYLVANIA","USA","19078-3010"
"53","NPDES","PAG130099",110055637832,"NETHER PROVIDENCE TWP MS4","214 SYKES LN","","WALLINGFORD","DELAWARE","PA045","PA","PENNSYLVANIA","USA","19086-6337"
"54","NPDES","PAR314846",110055636977,"MOUNTAIN ENERGY SVC","616 STATE ST","","WYALUSING","BRADFORD","PA015","PA","PENNSYLVANIA","USA","18853"
"55","NPDES","PAR110055",110055637137,"HELICOPTER SUPPORT DBA SIKORSKY COMMERCIAL - HELIPLEX","110 STEWART HUSTON DR","","COATESVILLE","CHESTER","PA029","PA","PENNSYLVANIA","USA","19320-1646"
"56","NPDES","PAG130124",110055637841,"EAST LANSDOWNE BORO MS4","155 LEXINGTON AVE","","EAST LANSDOWNE","DELAWARE","PA045","PA","PENNSYLVANIA","USA","19050-2616"
"57","NPDES","PAG130127",110017809601,"DARBY BORO MS4","1020 RIDGE AVENUE","","DARBY","DELAWARE","PA045","PA","PENNSYLVANIA","USA","19023-2202"
"58","NPDES","PAG130149",110017815658,"JENKINTOWN BORO MS4","700 SUMMIT AVE","","JENKINTOWN","MONTGOMERY","PA091","PA","PENNSYLVANIA","USA","19046-3236"
"59","NPDES","PAG130156",110017811885,"EAST GREENVILLE BORO MS4","206 MAIN ST.","206 MAIN ST","EAST GREENVILLE","MONTGOMERY","PA091","PA","PENNSYLVANIA","USA","18041-0128"
"60","NPDES","PAG130164",110017817344,"RED HILL BORO MS4","56 W 4TH ST","","RED HILL","MONTGOMERY","PA091","PA","PENNSYLVANIA","USA","18076-1240"
"61","NPDES","PAR116137",110037123378,"SINTERMET LLC","222 N PRK DR","W HILLS IND PRK","KITTANNING","ARMSTRONG","PA005","PA","PENNSYLVANIA","USA","16201"
"62","NPDES","PAR140026",110001049277,"NEENAH NORTHEAST QUAKERTOWN FAC","45 NORTH 4TH ST","","QUAKERTOWN","BUCKS","PA017","PA","PENNSYLVANIA","USA","18951"
"63","NPDES","PAG128302",110038688097,"PRESQUE ISLE DOWNS","8199 PERRY HWY","","ERIE","ERIE","PA049","PA","PENNSYLVANIA","USA","16509-6640"
"64","NPDES","PAG102283",110055239610,"CHURCH COMPRESSOR STATION PIPELINE","CHURCH COMPRESSOR STATION","802 PA S.R. 3010","SPRINGVILLE","SUSQUEHANNA","PA115","PA","PENNSYLVANIA","USA","18411"
"65","NPDES","PAG130008",110000921469,"PLYMOUTH TWP MS4","700 BELVOIR RD","","PLYMOUTH MEETING","MONTGOMERY","PA091","PA","PENNSYLVANIA","USA","19462-2578"
"66","NPDES","PAG130014",110055637707,"SHARON HILL BORO MS4","250 SHARON AVE","","SHARON HILL","DELAWARE","PA045","PA","PENNSYLVANIA","USA","19079-2009"
"67","NPDES","PAG138313",110000936747,"LAKE CITY BORO ERIE CNTY MS4","2350 MAIN ST","","LAKE CITY","ERIE","PA049","PA","PENNSYLVANIA","USA","16423-1509"
"68","NPDES","PAI130507",110055487968,"CHARLESTOWN TWP MS4","P.O. BOX 507","","DEVAULT","CHESTER","PA029","PA","PENNSYLVANIA","USA","19432"
"69","NPDES","PA0244228",110017793832,"RAHNS CONCRETE BATCH PLANT","430 RAHNS RD","","RAHNS","MONTGOMERY","PA091","PA","PENNSYLVANIA","USA","19426"
"70","NPDES","PAG136262",110020799769,"NEW EAGLE BORO STORM SEW SYS","157 MAIN ST","","NEW EAGLE","WASHINGTON","PA125","PA","PENNSYLVANIA","USA","15067"
"71","NPDES","PAG133506",110056408720,"MS4 WERNERSVILLE BORO","100 N REBER ST","PO BOX 167","WERNERSVILLE","BERKS","PA011","PA","PENNSYLVANIA","USA","19565-2131"
"72","NPDES","PAG106172",110056408784,"NORFOLK SOUTHERN CORP-CONWAY YARD","1100 1ST AVE","","CONWAY","BEAVER","PA007","PA","PENNSYLVANIA","USA","15027"
"73","NPDES","PAG036102",110056408855,"NEW KENSINGTON PLT","201 IND BLVD","","NEW KENSINGTON","WESTMORELAND","PA129","PA","PENNSYLVANIA","USA","15068"
"74","NPDES","PAG041118",110001107908,"JIFFY MINI MART 5","17933 PAINT BLVD","","SHIPPENVILLE","CLARION","PA031","PA","PENNSYLVANIA","USA","16254-4231"
"75","NPDES","PAS204803",110056410281,"SMC POWDER METALLURGY","1251 ROUTE 6 W","","GALETON","POTTER","PA105","PA","PENNSYLVANIA","USA","16922-9125"
"76","NPDES","PAI132222",110056407419,"LOWER MACUNGIE TOWNSHIP","URBANIZED AREA ALLENTOWN 1","","LOWER MACUNGIE TWP","LEHIGH","PA077","PA","PENNSYLVANIA","USA","00000"
"77","NPDES","PAG041123",110056410469,"KENNETH A POLLARD SRSTP","8150 FRANKLIN RD","","GIRARD","ERIE","PA049","PA","PENNSYLVANIA","USA","16417"
"78","NPDES","PAG041127",110056410487,"ROBERTA A DAVIS SRSTP","14452 DEPOT ST","","MILL VILLAGE","ERIE","PA049","PA","PENNSYLVANIA","USA","16427"
"79","NPDES","PAG041132",110056410496,"GERALD & MARGARET STONER SRSTP","3893 WILLIAMS RD","","ERIE","ERIE","PA049","PA","PENNSYLVANIA","USA","16510"
"80","NPDES","PA0272582",110060130040,"JANELLE V KERNER & TIMOTHY J HODERNY SRSTP","8275 WILLIAMS RD","","NORTH EAST","ERIE","PA049","PA","PENNSYLVANIA","USA","16428-4880"
"81","NPDES","PAR803734",110055208261,"R+L CARRIERS - LEB","200 NARROWS DRIVE","","LEBANON","LEBANON","PA075","PA","PENNSYLVANIA","USA","17046"
"82","NPDES","PAR236135",110059344473,"BEAVER VLY PLT","NOVA CHEM CO","400 FRANKFORT RD","MONACA","BEAVER","PA007","PA","PENNSYLVANIA","USA","15061-2260"
"83","NPDES","PAG102269",110055193339,"MCCARTHY PIPELINE PROJECT","1605 CORAOPOLIS HEIGHTS ROAD","SEE LAT/LONG COORDINATES","MOON TOWNSHIP","SUSQUEHANNA","PA115","PA","PENNSYLVANIA","USA","15108-4310"
"84","NPDES","PAG106160",110055203505,"BIG PINE GATHERING SYS CONEMUGH TWP INDIANA CNTY","1509 RIVERVIEW RD","","CLARKSBURG","INDIANA","PA063","PA","PENNSYLVANIA","USA","15725"
"85","NPDES","PAG041094",110064101243,"MERCER BAPTIST CH","BUTLER PIKE RT 258","","MERCER","MERCER","PA085","PA","PENNSYLVANIA","USA","16137"
"86","NPDES","PAG124844",110055203541,"JOHN PFLEEGOR FARM","460 GOLD RD","","MUNCY","LYCOMING","PA081","PA","PENNSYLVANIA","USA","17756-5748"
"87","NPDES","PA0054992",110055180584,"BIRD SRSTP","2835 MILL ROAD","","DOYLESTOWN","BUCKS","PA017","PA","PENNSYLVANIA","USA","18901-1654"
"88","NPDES","PAG041143",110058915624,"REASH COMM CH SFTF","4795 US HIGHWAY 19","","COCHRANTON","CRAWFORD","PA039","PA","PENNSYLVANIA","USA","16314-4335"
"89","NPDES","PAG043934",110058915660,"SFS, ALLEGRIPIES LLC","TOWNSHIP ROAD 372","","JAMES CREEK","HUNTINGDON","PA061","PA","PENNSYLVANIA","USA","16657"
"90","NPDES","PAG056254",110040710291,"PINE RUN MKT","101 PINE RUN RD","","FREEDOM","BEAVER","PA007","PA","PENNSYLVANIA","USA","15042"
"91","NPDES","PAG136152",110058915447,"PINE TWP STORM SEW SYS MS4","230 PEARCE MILL RD","","WEXFORD","ALLEGHENY","PA003","PA","PENNSYLVANIA","USA","15090-8511"
"92","NPDES","PAG108318",110058916115,"WELTER TO KOZIK GATHERING LINE HYDROSTATIC TESTING","WELTER RD","","BUTLER","BUTLER","PA019","PA","PENNSYLVANIA","USA","16003"
"93","NPDES","PAG130097",110015776105,"TINICUM TWP MS4","629 N GOVERNOR PRINTZ BLVD","","ESSINGTON","DELAWARE","PA045","PA","PENNSYLVANIA","USA","19029-1732"
"94","NPDES","PAG130009",110055257270,"ALDAN BORO MS4","ONE W PROVIDENCE RD","","ALDAN","","","PA","PENNSYLVANIA","USA","19018-3909"
"95","NPDES","PAG130010",110010971993,"UPPER MAKEFIELD TWP MS4","1076 EAGLE RD","","NEWTOWN","","","PA","PENNSYLVANIA","USA","18940-2818"
"96","NPDES","PAG130025",110010976809,"CHEYNEY UNIV MS4","1837 UNIVERSITY CIR","","CHEYNEY","DELAWARE","PA045","PA","PENNSYLVANIA","USA","19319-1019"
"97","NPDES","PAG130043",110055257387,"WRIGHTSTOWN TOWNSHIP MS4","2203 SECOND STREET PIKE","","WRIGHTSTOWN","BUCKS","PA017","PA","PENNSYLVANIA","USA","18940"
"98","NPDES","PAG130069",110055257396,"PERKIOMEN TWP MS4","1 TRAPPE RD","","COLLEGEVILLE","","","PA","PENNSYLVANIA","USA","19426-1829"
"99","NPDES","PAG130077",110017821428,"HAVERFORD TWP MS4","2325 DARBY RD","","HAVERTOWN","","","PA","PENNSYLVANIA","USA","19083-2201"
"100","NPDES","PAG136188",110055257555,"CARNEGIE BORO STORM SEW SYS","1 VETERANS WAY","","CARNEGIE","ALLEGHENY","PA003","PA","PENNSYLVANIA","USA","15106"
"101","NPDES","PAG136208",110017793351,"OHIO TWP STORM SEW SYS MS4","1719 ROOSEVELT RD","","PITTSBURGH","ALLEGHENY","PA003","PA","PENNSYLVANIA","USA","15237-1050"
"102","NPDES","PAG130063",110017819244,"PENNSBURG BORO MS4","76 W 6TH ST","","PENNSBURG","MONTGOMERY","PA091","PA","PENNSYLVANIA","USA","18073-1500"
"103","NPDES","PAG130152",110055256217,"ROCKLEDGE BORO MS4","121 HUNTINGDON PIKE","","ROCKLEDGE","MONTGOMERY","PA091","PA","PENNSYLVANIA","USA","19046"
"104","NPDES","PAG138330",110064103349,"SUMMIT TWP ERIE CNTY","1230 TOWNHALL RD W STE 100","","ERIE","ERIE","PA049","PA","PENNSYLVANIA","USA","16509-5080"
"105","NPDES","PAG136238",110055256583,"OAKMONT BORO STORM SEW SYS","FIFTH ST & VIRGINIA AVE","PO BOX 206","OAKMONT","ALLEGHENY","PA003","PA","PENNSYLVANIA","USA","15139"
"106","NPDES","PAG133656",110000949760,"MS4 DOVER TWP","2480 W CANAL RD","","DOVER","YORK","PA133","PA","PENNSYLVANIA","USA","17315-3410"
"107","NPDES","PAU123628",110055261069,"GARY TRUCKENMILLER FARM","2005 CRONRATH ROAD","","WATSONTOWN","NORTHUMBERLAND","PA097","PA","PENNSYLVANIA","","17777"
"108","NPDES","PAU123630",110055219721,"HENRY OBERHOLTZER FARM","531 VIOLET ROAD","","MIFFLINBURG","UNION","PA119","PA","PENNSYLVANIA","","17844"
"109","NPDES","PAG106162",110055370067,"ATEX EXPRESS PROJ","XXXXXXX","","WASHINGTON","WASHINGTON","PA125","PA","PENNSYLVANIA","USA","15222"
"110","NPDES","PAG130011",110001082710,"LOWER MAKEFIELD TWP MS4","1100 EDGEWOOD RD","","YARDLEY","BUCKS","PA017","PA","PENNSYLVANIA","USA","19067"
"111","NPDES","PAI138307",110017816568,"FARRELL CITY MS4","500 ROEMER BLVD","","FARRELL","","","PA","PENNSYLVANIA","USA","16148"
"112","NPDES","PAR203621",110001087911,"TUCKER INDUSTRIAL LIQUID COATINGS INC","407 NORTH AVE","","EAST BERLIN","ADAMS","PA001","PA","PENNSYLVANIA","USA","17316-7813"
"113","NPDES","PAR316112",110004884625,"PATTERSON SVCS INC","1217 LAUREL HILL RD","","MCDONALD","WASHINGTON","PA125","PA","PENNSYLVANIA","USA","15057"
"114","NPDES","PAR803736",110060261078,"MORGAN TRUCK BODY LLC DBA MORGAN CORPORATION","1656 DRY TAVERN RD","","DENVER","LANCASTER","PA071","PA","PENNSYLVANIA","USA","17517-8920"
"115","NPDES","PAR806266",110038690146,"FEDEX GROUND","2702 NEVILLE RD","","PGH","ALLEGHENY","PA003","PA","PENNSYLVANIA","USA","15225"
"116","NPDES","PAG136199",110055370156,"HOMESTEAD BORO STORM SEW SYS MS4","HOMESTEAD BORO ALLEGHENY CNTY","","HOMESTEAD","ALLEGHENY","PA003","PA","PENNSYLVANIA","USA","15120"
"117","NPDES","PAG136240",110017792049,"HEIDELBERG BORO STORM SEW SYS","1631 E RAILROAD ST","","CARNEGIE","ALLEGHENY","PA003","PA","PENNSYLVANIA","USA","15106-4026"
"118","NPDES","PAG136281",110000960755,"HAMPTON TWP STORM SEW SYS MS4","3101 MCCULLY RD","","ALLISON PARK","ALLEGHENY","PA003","PA","PENNSYLVANIA","USA","15101-1331"
"119","NPDES","PAI132217",110055370209,"OLYPHANT BORO LACKAWANNA CNTY MS4","URBANIZED AREA OLYPHANT 56792","","OLYPHANT BORO","LACKAWANNA","PA069","PA","PENNSYLVANIA","USA","00000"
"120","NPDES","PAG130017",110017814766,"PHOENIXVILLE BORO MS4","140 CHURCH STREET","","PHOENIXVILLE","CHESTER","PA029","PA","PENNSYLVANIA","USA","19460"
"121","NPDES","PAG130021",110056153451,"MARPLE TWP MS4","227 S. SPROUL RD","","BROOMALL","DELAWARE","PA045","PA","PENNSYLVANIA","USA","19008"
"122","NPDES","PAG133587",110017811144,"MS4 MILLERSVILLE BORO","100 MUNICIPAL DR","","MILLERSVILLE","BUCKS","PA017","PA","PENNSYLVANIA","USA","17551"
"123","NPDES","PAG136105",110055370129,"FALLOWFIELD TWP STORM SEW SYS","9 MEMORIAL DR","","CHARLEROI","WASHINGTON","PA125","PA","PENNSYLVANIA","USA","15022"
"124","NPDES","PA0244619",110055369925,"WACHS SRSTP","1107 MANOR ROAD","","COATESVILLE","CHESTER","PA029","PA","PENNSYLVANIA","USA","19320"
"125","NPDES","PA0253430",110012707936,"PBS COALS INC SHADE PREP PLT","688 COOK RD","","SHADE, TOWNSHIP OF","SOMERSET","PA111","PA","PENNSYLVANIA","USA","15926"
"126","NPDES","PAG042233",110055369970,"DAVID & DIANNE BELL","890 ENGLISH FLATS RD","","HALLSTEAD","SUSQUEHANNA","PA115","PA","PENNSYLVANIA","USA","18822"
"127","NPDES","PAG102284",110055370003,"HYDROSTATIC TESTING LUCY PIPELINE PROJECT","HINKLEY ROAD","","SPRINGVILLE","SUSQUEHANNA","PA115","PA","PENNSYLVANIA","USA","18630"
"128","NPDES","PAG103556",110055370030,"TEXAS EASTERN - TEAM 2014 PROJECT - BERNVILLE LOOP","TEAM 2014 PROJECT - BERNVILLE LOOP","","READING","BERKS","PA011","PA","PENNSYLVANIA","USA","19605"
"129","NPDES","PAI138304",110056154209,"BUFFALO TWP BUTLER CNTY MS4","109 BEAR CRK RD","","SARVER","BUTLER","PA019","PA","PENNSYLVANIA","USA","16055"
"130","NPDES","PAG136120",110056160719,"MONACA BORO STORM SEW SYS","PENNSYLVANIA AVE EXT","","MONACA","BEAVER","PA007","PA","PENNSYLVANIA","USA","15061"
"131","NPDES","PAI130532",110056153736,"WEST GOSHEN TWP MS4","1025 PAOLI PIKE","","WEST CHESTER","CHESTER","PA029","PA","PENNSYLVANIA","USA","19380"
"132","NPDES","PAG133570",110056160238,"MS4 FRANKLIN TWP","150 CENTURY LANE","","DILLSBURG","YORK","PA133","PA","PENNSYLVANIA","USA","17019"
"133","NPDES","PAR203623",110056154888,"ALL QUALITY ALUMINUM FOUNDRY","2485 OLD PHILADELPHIA PIKE","","SMOKETOWN","LANCASTER","PA071","PA","PENNSYLVANIA","USA","17576"
"134","NPDES","PAG109620",110056161068,"WILLIAMS GAS PAG-10 STATEWIDE PIPELINE","60 N BACTON HILL RD","","MALVERN","COLUMBIA","PA037","PA","PENNSYLVANIA","USA","19355-1026"
"135","NPDES","PAG123761",110035858408,"BAILEY FARMS CAFO","2820 DARON RD","","SPRING GROVE","YORK","PA133","PA","PENNSYLVANIA","USA","17362-7900"
"136","NPDES","PAG041108",110056157126,"RICKERT FARM SRSTP","1563 VERNON RD","","STONEBORO","MERCER","PA085","PA","PENNSYLVANIA","USA","16153"
"137","NPDES","PAG041110",110056157144,"HEIDI HILTON & ROBERT STEPHENSON SRSTP","8091 KNOYLE RD","","WATTSBURG","ERIE","PA049","PA","PENNSYLVANIA","USA","16442-1005"
"138","NPDES","PAG041113",110056157224,"KRISTIN E SKELLEY RICHARDS SRSTP","843 MERCER RD","","GREENVILLE","MERCER","PA085","PA","PENNSYLVANIA","USA","16125"
"139","NPDES","PAR316115",110033004978,"RONCO WWTP","2326 MCCLELLANDTOWN RD","","MASONTOWN","FAYETTE","PA051","PA","PENNSYLVANIA","USA","15461-2568"
"140","NPDES","PAS120002",110038688131,"DAVIS FUEL OXFORD FAC","533 LINCOLN ST","","OXFORD","CHESTER","PA029","PA","PENNSYLVANIA","USA","19363-1521"
"141","NPDES","PAG041116",110056157705,"HOSPICE HOUSE SRSTP","13465 N WAYLAND RD","","MEADVILLE","CRAWFORD","PA039","PA","PENNSYLVANIA","USA","16335-6069"
"142","NPDES","PAG041128",110056157732,"STEPHANIE R & WILLIAM J BURGER SRSTP","16507 US HWY 6 & 19","","SAEGERTOWN","CRAWFORD","PA039","PA","PENNSYLVANIA","USA","16433"
"143","NPDES","PAG133531",110056153291,"MS4 BERN TWP","1069 OLD BERNVILLE RD","","READING","BERKS","PA011","PA","PENNSYLVANIA","USA","19605-9311"
"144","NPDES","PAG136227",110056153344,"NEW STANTON BORO STORM SEW SYS MS4","PO BOX 237","451 N CENTER AVE","NEW STANTON","WESTMORELAND","PA129","PA","PENNSYLVANIA","USA","15672-0237"
"145","NPDES","PAG132224",110056160050,"ASHLEY BORO LUZERNE CNTY MS4","149 CEMETERY STREET","","ASHLEY","LUZERNE","PA079","PA","PENNSYLVANIA","USA","18706"
